frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,8.076,8.146,3.782,3.948,7.248,2.376,17.264,0.004,-0.0602,0.038
2,8.066,8.148,3.752,3.974,7.144,2.31,17.574,-0.002,-0.068,0.05
3,7.948,8.06,3.71,3.968,7.266,2.096,17.37,-0.002,-0.072,0.056
4,7.922,8.006,3.756,3.996,7.242,2.232,17.294,-0.006,-0.0728,0.046
5,7.946,8.034,3.66,3.912,7.248,2.236,17.374,-0.008,-0.0738,0.046
6,7.938,8.034,3.676,3.934,7.234,2.188,17.31,-0.006,-0.0784,0.052
7,7.894,7.968,3.764,4.024,7.2,2.19,17.132,0,-0.0768,0.052
8,7.81,7.882,3.832,4.086,7.256,2.266,17.196,-0.006,-0.08,0.05
9,7.798,7.902,3.798,4.046,7.294,2.44,17.278,-0.004,-0.0806,0.05
10,7.796,7.88,3.79,4.032,7.268,2.412,17.186,0,-0.079,0.05
11,7.784,7.868,3.782,4.014,7.244,2.4,17.162,-0.002,-0.075,0.044
12,7.678,7.76,3.772,4.02,7.328,2.31,17.248,-0.006,-0.0718,0.046
13,7.672,7.768,3.768,4.016,7.326,2.552,17.214,-0.012,-0.0726,0.04
14,7.65,7.734,3.846,4.09,7.344,2.466,17.332,-0.012,-0.0722,0.038
15,7.678,7.754,3.782,4.034,7.336,2.38,17.348,-0.01,-0.0742,0.038
16,7.628,7.704,3.778,4.038,7.39,2.398,17.214,-0.01,-0.0724,0.042
17,7.606,7.684,3.708,3.964,7.432,2.356,17.272,-0.016,-0.072,0.036
18,7.576,7.666,3.738,3.998,7.424,2.172,17.272,-0.018,-0.0714,0.038
19,7.564,7.656,3.72,3.986,7.328,2.112,17.302,-0.012,-0.0732,0.042
20,7.476,7.552,3.692,3.942,7.294,2.122,17.172,-0.018,-0.0694,0.036
21,7.238,7.31,3.826,4.076,7.314,2.26,17.034,-0.012,-0.0732,0.04
22,7.246,7.306,3.714,3.962,7.306,2.112,16.942,-0.016,-0.0706,0.036
23,7.134,7.184,3.868,4.1,7.242,2.178,17.034,-0.01,-0.0676,0.04
24,6.956,6.998,3.896,4.126,7.236,2.124,17.048,-0.006,-0.0662,0.04
25,6.886,6.936,3.68,3.924,7.316,2.168,17.056,0,-0.065,0.044
26,6.81,6.848,3.706,3.946,7.232,2.124,17.042,0.002,-0.0646,0.044
27,6.738,6.786,3.79,4.024,7.218,2.098,17.046,-0.002,-0.062,0.044
28,6.718,6.758,3.762,3.992,7.246,2.312,17.046,0.002,-0.062,0.044
29,6.684,6.722,3.722,3.96,7.276,2.27,17.066,0.006,-0.0656,0.048
30,6.764,6.798,3.692,3.922,7.262,2.396,17.052,0.004,-0.0632,0.042
31,6.708,6.746,3.668,3.892,7.162,2.318,16.986,0.002,-0.0588,0.044
32,6.746,6.768,3.67,3.886,7.048,2.422,17.026,0,-0.0556,0.044
33,6.65,6.672,3.706,3.914,7.238,3.092,17.04,0,-0.0538,0.04
