frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.075,6.1675,3.0425,3.0575,6.84125,3.88875,12.95625,0.235,-0.17625,0.00625
2,6.29,6.4325,2.995,3.09,7.28875,5.15125,16.7,0.225,-0.174,0.01125
3,6.11125,6.2475,2.90125,3.01375,7.40875,4.6975,16.62875,0.2175,-0.153375,0.01375
4,5.96,6.10375,2.835,2.9275,7.50125,4.56375,16.49625,0.24125,-0.134,0.00125
5,5.8675,6.02875,2.8725,2.97,7.81875,4.55125,16.61375,0.2425,-0.127625,0.0025
6,5.85375,6.00375,2.94875,3.0325,7.79875,4.31875,16.4575,0.245,-0.121375,0.0075
7,5.93,6.115,2.8025,2.88875,7.655,3.66625,16.34625,0.23875,-0.1215,0.005
8,5.84,6.0225,2.8525,2.93625,7.72125,3.67,16.19625,0.24125,-0.11925,0.00125
9,5.82875,6.01875,2.83375,2.9225,7.66,3.63125,16.255,0.2325,-0.1195,0.0025
10,5.82875,6.01375,2.92,3.0125,7.84625,3.65375,16.26,0.22375,-0.1205,0.00875
11,5.82875,6.0225,2.86,2.95875,7.7075,3.6,16.23625,0.22875,-0.119625,0.01
12,5.855,6.0475,2.81375,2.93625,7.68875,3.73875,16.2975,0.21625,-0.1175,0.00875
13,5.9075,6.10375,2.88375,2.99375,7.62125,3.63125,16.19,0.23875,-0.117625,0.0125
14,5.95625,6.1525,2.84375,2.95375,7.70125,3.7025,16.185,0.235,-0.116625,0.0125
