frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.471428571,6.53,3.084285714,3.121428571,6.801428571,2.008571429,16.16571429,-0.06714285714,-0.2752857143,-0.07571428571
2,6.434285714,6.478571429,2.704285714,2.745714286,6.892857143,1.822857143,15.40142857,-0.05571428571,-0.2934285714,-0.09
3,6.545714286,6.571428571,2.778571429,2.83,7.004285714,1.698571429,14.50857143,-0.05285714286,-0.298,-0.08714285714
4,6.568571429,6.564285714,2.65,2.688571429,7.217142857,1.458571429,14.07,-0.04714285714,-0.3032857143,-0.09
5,6.43,6.474285714,2.834285714,2.877142857,7.081428571,1.614285714,13.92857143,-0.03428571429,-0.2944285714,-0.08142857143
6,6.391428571,6.481428571,2.845714286,2.892857143,7.11,2.021428571,14.33,-0.03428571429,-0.2835714286,-0.08571428571
7,6.407142857,6.531428571,2.845714286,2.881428571,6.775714286,2.448571429,15.21,-0.01285714286,-0.28,-0.09142857143
8,6.401428571,6.505714286,3.051428571,3.081428571,6.405714286,1.81,15.54714286,-0.01,-0.2788571429,-0.1028571429
9,6.467142857,6.532857143,2.945714286,2.955714286,6.652857143,1.195714286,16.20428571,-0.01857142857,-0.2807142857,-0.1285714286
10,6.314285714,6.39,3.124285714,3.14,6.772857143,1.48,16.39428571,-0.02142857143,-0.2697142857,-0.1357142857
11,6.464285714,6.571428571,2.908571429,2.938571429,6.472857143,3.06,16.81428571,-0.001428571429,-0.25,-0.1342857143
12,6.434285714,6.552857143,2.955714286,3.018571429,6.45,3.04,16.96142857,-0.01142857143,-0.2301428571,-0.14
13,6.487142857,6.581428571,3.098571429,3.142857143,6.454285714,2.654285714,16.98428571,-0.004285714286,-0.2225714286,-0.1542857143
14,6.517142857,6.59,3.045714286,3.097142857,6.574285714,2.38,17.24857143,0.005714285714,-0.2245714286,-0.1585714286
15,6.484285714,6.502857143,3.545714286,3.601428571,6.555714286,1.67,16.88428571,0.01428571429,-0.2194285714,-0.1514285714
16,6.514285714,6.557142857,3.472857143,3.532857143,6.735714286,2.335714286,16.66285714,0.03142857143,-0.2061428571,-0.1442857143
17,6.505714286,6.564285714,3.388571429,3.451428571,6.735714286,2.547142857,16.71285714,0.04142857143,-0.1932857143,-0.1314285714
18,6.508571429,6.565714286,3.38,3.432857143,6.548571429,2.928571429,16.17285714,0.05428571429,-0.1858571429,-0.1271428571
19,6.587142857,6.64,3.225714286,3.28,6.49,2.385714286,15.55571429,0.05428571429,-0.184,-0.1257142857
20,6.537142857,6.595714286,3.227142857,3.252857143,6.53,1.361428571,15.09285714,0.04142857143,-0.1835714286,-0.1242857143
21,6.51,6.582857143,3.165714286,3.191428571,6.681428571,1.38,15.78571429,0.02142857143,-0.1884285714,-0.1271428571
22,6.498571429,6.547142857,3.005714286,3.034285714,6.822857143,1.288571429,16.45857143,-0.008571428571,-0.1992857143,-0.1285714286
23,6.574285714,6.595714286,2.852857143,2.887142857,6.86,1.19,16.87285714,-0.05428571429,-0.2148571429,-0.1257142857
24,6.832857143,6.828571429,3.102857143,3.118571429,6.818571429,1.164285714,16.99857143,-0.09142857143,-0.2212857143,-0.1357142857
25,7.011428571,7.017142857,2.942857143,2.932857143,6.821428571,1.121428571,17.21,-0.1057142857,-0.2241428571,-0.1585714286
26,7.072857143,7.115714286,2.958571429,2.942857143,6.731428571,1.124285714,17.23857143,-0.09428571429,-0.2248571429,-0.1614285714
27,7.078571429,7.102857143,2.87,2.867142857,6.7,1.11,17.10142857,-0.08714285714,-0.2335714286,-0.1614285714
28,7.088571429,7.115714286,2.665714286,2.682857143,6.625714286,1.491428571,16.60714286,-0.08714285714,-0.2277142857,-0.15
29,7.078571429,7.121428571,2.85,2.88,6.39,2.507142857,15.90285714,-0.07857142857,-0.2242857143,-0.1328571429
30,7.048571429,7.084285714,2.962857143,2.997142857,6.305714286,2.392857143,15.38714286,-0.06285714286,-0.2312857143,-0.1171428571
31,7.064285714,7.065714286,2.808571429,2.844285714,6.565714286,1.674285714,14.85,-0.05714285714,-0.2397142857,-0.1185714286
32,7.127142857,7.131428571,2.788571429,2.817142857,6.507142857,1.637142857,14.05142857,-0.05,-0.2435714286,-0.1142857143
33,7.121428571,7.121428571,2.855714286,2.882857143,6.425714286,1.441428571,13.57285714,-0.05142857143,-0.2441428571,-0.09571428571
34,7.095714286,7.11,2.751428571,2.791428571,6.467142857,1.488571429,13.81714286,-0.03,-0.2502857143,-0.08714285714
35,6.961428571,6.968571429,3.011428571,3.047142857,6.494285714,1.67,14.43142857,-0.02571428571,-0.2445714286,-0.08714285714
36,6.951428571,6.951428571,3.11,3.135714286,6.582857143,1.9,15.46,-0.01285714286,-0.2371428571,-0.09857142857
37,6.901428571,6.905714286,3.094285714,3.114285714,6.741428571,2.288571429,16.06142857,-0.004285714286,-0.229,-0.11
38,6.758571429,6.751428571,2.95,2.97,6.878571429,2.488571429,16.33714286,-0.002857142857,-0.222,-0.1185714286
39,6.711428571,6.741428571,2.844285714,2.881428571,6.835714286,3.041428571,16.51,0.007142857143,-0.2204285714,-0.1157142857
40,6.611428571,6.657142857,3.042857143,3.085714286,6.694285714,3.267142857,16.37428571,0.02,-0.2202857143,-0.1028571429
41,6.482857143,6.527142857,3.375714286,3.421428571,6.82,3.315714286,16.68142857,0.01571428571,-0.2114285714,-0.08714285714
42,6.434285714,6.472857143,3.13,3.19,6.854285714,3.171428571,17.02571429,0.01428571429,-0.208,-0.08
43,6.478571429,6.525714286,2.917142857,2.961428571,6.995714286,2.794285714,17.10428571,0.01571428571,-0.2032857143,-0.08857142857
44,6.397142857,6.422857143,3.017142857,3.062857143,7.055714286,2.005714286,17.37428571,0.01285714286,-0.1941428571,-0.08142857143
