frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.86,6.9,2.91,2.89,6.31,1.6,14.01,0.28,0.041,0.16
2,6.81,6.855,2.855,2.85,6.32,1.575,13.8,0.265,0.058,0.16
3,6.685,6.73,2.765,2.79,6.295,1.735,13.69,0.25,0.067,0.16
4,6.725,6.78,2.735,2.81,6.155,2.735,11.945,0.255,0.0735,0.155
5,6.765,6.815,2.71,2.815,6.17,2.78,11.69,0.26,0.073,0.16
6,6.705,6.755,2.71,2.82,6.125,3.48,11.72,0.26,0.0765,0.16
7,6.6,6.62,2.945,3.045,6.13,5.375,12.4,0.26,0.0775,0.16
8,6.655,6.7,2.32,2.47,6.23,5.395,12.695,0.26,0.0745,0.16
9,6.365,6.41,2.44,2.585,6.075,5.455,12.09,0.25,0.077,0.15
10,6.28,6.325,2.45,2.565,6.115,5.525,12.205,0.24,0.08,0.14
11,6.405,6.47,2.375,2.5,5.87,5.985,11.27,0.225,0.076,0.14
12,6.46,6.525,2.32,2.435,5.835,6.62,11.195,0.205,0.0655,0.14
13,6.44,6.515,2.27,2.395,5.775,7.33,11.28,0.185,0.0495,0.135
14,6.375,6.435,2.305,2.405,5.75,7.715,11.28,0.175,0.0405,0.13
15,6.47,6.515,2.28,2.36,5.75,7.795,11.385,0.17,0.03,0.125
16,6.515,6.555,2.205,2.275,5.77,7.935,11.52,0.155,0.006,0.115
17,6.54,6.58,2.105,2.175,5.73,8.045,11.6,0.145,-0.0135,0.11
18,6.615,6.66,2.03,2.1,5.745,7.865,11.675,0.13,-0.0255,0.12
19,6.605,6.63,2.065,2.135,5.73,8.08,11.655,0.12,-0.031,0.12
20,6.71,6.735,2.075,2.125,5.765,7.745,11.72,0.125,-0.03,0.13
21,6.695,6.715,2.135,2.17,5.845,7.25,11.965,0.12,-0.026,0.125
22,6.94,6.945,2.335,2.36,5.805,6.31,12.05,0.1,-0.018,0.125
23,6.455,6.465,2.91,2.925,5.9,4.865,12.205,0.08,-0.0045,0.12
24,6.525,6.53,2.86,2.87,5.91,4.88,12.25,0.085,-0.0035,0.12
25,6.405,6.435,2.785,2.795,5.985,3.655,12.12,0.08,0.011,0.12
26,6.245,6.29,2.8,2.805,6.185,4.21,12.95,0.08,0.0305,0.12
27,6.175,6.22,2.865,2.865,6.21,3.945,13.115,0.08,0.0395,0.125
28,6.075,6.105,2.95,2.965,6.205,3.655,13.33,0.075,0.05,0.13
29,5.145,5.17,3.48,3.48,6.285,3.59,13.22,0.085,0.0545,0.135
30,4.275,4.295,4.1,4.08,6.39,3.495,13.195,0.09,0.061,0.14
31,4.155,4.17,4.285,4.275,6.255,3.515,12.4,0.095,0.0635,0.13
32,4.38,4.415,3.92,3.925,5.94,2.98,9.75,0.11,0.067,0.14
33,4.305,4.33,4.125,4.13,6,2.95,9.68,0.1,0.07,0.145
34,4.345,4.385,4.47,4.49,5.875,2.47,9.285,0.11,0.0705,0.15
35,4.43,4.485,4.36,4.38,5.89,2.125,9.31,0.1,0.0695,0.16
36,4.39,4.44,4.305,4.31,5.925,2.1,9.465,0.08,0.0675,0.16
37,4.4,4.425,4.26,4.265,5.955,2.21,9.55,0.075,0.0635,0.165
38,4.325,4.35,4.375,4.39,6,2.25,9.715,0.065,0.06,0.16
39,4.19,4.195,4.125,4.13,6.14,3.65,10.87,0.045,0.0505,0.155
40,4.085,4.095,4.31,4.305,6.35,3.99,12.33,0.03,0.048,0.15
41,4.07,4.08,4.205,4.2,6.385,4.135,13.12,0.025,0.046,0.155
42,4.04,4.055,4.2,4.205,6.4,4.22,13.43,0.025,0.044,0.15
43,4.05,4.06,4.21,4.215,6.4,4.105,13.72,0.03,0.043,0.15
44,4.025,4.04,4.265,4.27,6.405,4.1,13.985,0.03,0.043,0.15
45,4.04,4.06,4.18,4.185,6.395,4.18,14.05,0.03,0.0425,0.145
46,4.055,4.07,4.14,4.14,6.395,4.105,14.085,0.035,0.0395,0.14
47,4.065,4.095,4.105,4.095,6.375,4.015,13.965,0.04,0.0385,0.135
48,4.085,4.105,4.075,4.065,6.4,4.17,14.15,0.04,0.037,0.135
49,4.98,4.98,3.545,3.53,6.335,4.66,14.295,0.03,0.035,0.135
50,6.37,6.405,2.67,2.695,6.22,5.355,14.205,0.01,0.034,0.15
51,6.24,6.275,2.61,2.66,6.125,6.78,14.12,0.025,0.0325,0.16
52,6.31,6.37,2.51,2.57,6.18,7.1,14.195,0.02,0.034,0.16
53,6.415,6.485,2.385,2.44,6.02,7.51,14.22,0.03,0.0335,0.17
54,6.445,6.52,2.395,2.44,6.04,7.34,14.255,0.025,0.032,0.17
55,6.485,6.55,2.465,2.51,6.06,6.91,14.295,0.025,0.0295,0.17
56,6.35,6.385,2.92,2.945,6.205,4.05,13.81,0.01,0.0285,0.15
57,6.39,6.415,2.885,2.9,6.15,3.76,13.86,0.01,0.0275,0.15
58,6.56,6.585,2.73,2.745,6.425,3.225,15.33,0,0.0235,0.14
59,6.74,6.755,2.58,2.61,6.46,2.575,15.365,0.005,0.0285,0.135
60,6.655,6.655,2.59,2.64,6.385,1.365,15.115,0.005,0.0295,0.135
61,6.93,6.95,2.33,2.41,6.355,2.205,15.175,0.01,0.0335,0.13
62,6.83,6.855,2.445,2.535,6.36,2.24,15.19,0.005,0.0315,0.135
63,6.795,6.8,2.44,2.515,6.375,1.69,15.135,0.01,0.0335,0.135
64,6.41,6.445,2.89,2.91,6.15,1.825,14.285,0.03,0.046,0.14
65,6.41,6.43,2.62,2.65,6.29,3.335,14.36,-0.01,0.037,0.18
66,6.32,6.35,2.625,2.65,6.515,3.835,15.39,0.035,0.0395,0.19
67,6.175,6.2,2.66,2.73,6.625,3.845,15.545,0.065,0.038,0.175
68,6.06,6.09,2.525,2.59,6.935,3.975,16.37,0.11,0.045,0.14
69,5.9,5.94,2.43,2.44,6.985,3.995,16.765,0.125,0.053,0.11
70,5.95,5.98,2.395,2.39,7.115,3.99,17.105,0.125,0.0535,0.115
71,5.96,6,2.41,2.4,7.055,4.015,17.305,0.13,0.053,0.12
72,5.915,5.94,2.435,2.435,6.92,4.125,16.875,0.13,0.051,0.135
73,5.93,5.96,2.475,2.475,6.94,4.24,16.825,0.13,0.0505,0.135
74,6.515,6.53,2.745,2.765,6.83,4.415,16.635,0.11,0.053,0.14
75,6.605,6.62,2.75,2.785,6.71,4.465,16.495,0.125,0.059,0.14
76,6.595,6.635,2.79,2.815,6.715,4.53,16.515,0.13,0.061,0.13
77,6.675,6.69,2.685,2.725,6.675,4.47,16.32,0.13,0.0655,0.13
78,6.885,6.89,2.705,2.765,6.46,4.855,15.305,0.155,0.071,0.13
79,6.96,6.975,2.705,2.775,6.11,6.045,13.89,0.175,0.08,0.135
80,7.08,7.09,2.715,2.79,5.815,6.52,12.475,0.19,0.084,0.13
81,7.105,7.105,2.66,2.745,5.82,6.315,12.475,0.19,0.085,0.13
82,7.165,7.185,2.665,2.76,5.63,6.155,11.27,0.2,0.092,0.13
83,7.17,7.205,2.56,2.685,5.55,5.72,10.235,0.205,0.0895,0.12
84,6.96,7.01,2.515,2.62,5.425,5,8.825,0.18,0.083,0.125
85,6.755,6.86,2.745,2.825,5.56,1.875,8.72,0.155,0.0825,0.12
86,6.64,6.71,2.73,2.765,5.785,1.815,10.935,0.115,0.0865,0.105
87,6.765,6.795,2.495,2.505,6.095,1.92,14.02,0.09,0.08,0.11
88,7.935,7.885,2.545,2.52,5.77,1.89,12.82,0.055,0.0725,0.105
89,9.68,9.65,2.26,2.27,5.855,3.98,13.96,0.025,0.0435,0.11
90,9.785,9.805,2.26,2.28,5.9,3.745,13.985,0.005,0.0435,0.11
91,9.65,9.655,2.41,2.42,5.97,3.78,14.32,0.005,0.0385,0.115
92,9.335,9.325,2.585,2.585,6.19,3.72,15.77,-0.015,0.025,0.12
93,9.33,9.35,2.685,2.68,6.475,3.57,16.55,-0.02,0.0205,0.12
94,9.25,9.26,2.74,2.73,6.415,3.7,16.59,-0.005,0.016,0.12
95,9.225,9.255,2.775,2.755,6.395,3.735,16.535,-0.005,0.0165,0.125
96,9.135,9.18,2.735,2.735,6.255,3.975,15.495,0,0.0185,0.125
97,8.995,9,2.855,2.87,5.985,4.25,13.915,0.02,0.019,0.13
98,9.21,9.205,2.545,2.58,5.87,4.535,13.4,0.05,0.021,0.135
99,8.995,8.98,2.675,2.705,5.815,3.79,12.9,0.07,0.0215,0.14
100,8.25,8.25,3.405,3.42,5.785,2.95,12.555,0.09,0.0235,0.14
101,7.015,7.045,4.035,4.025,6.02,1.865,12.79,0.1,0.0295,0.135
102,6.855,6.855,4.23,4.23,6.305,1.81,14.09,0.11,0.0275,0.13
103,6.73,6.77,3.385,3.39,6.435,1.805,13.8,0.13,0.032,0.135
104,6.695,6.73,3.355,3.355,6.4,1.89,13.49,0.14,0.0335,0.14
105,6.62,6.62,3.29,3.3,6.345,3.78,13.145,0.145,0.034,0.135
106,6.665,6.64,3.36,3.37,6.385,3.45,13.105,0.14,0.0335,0.13
107,6.675,6.685,3.175,3.18,6.585,2.275,13.555,0.13,0.034,0.13
108,6.69,6.715,3.23,3.24,6.6,2.285,13.855,0.14,0.0295,0.13
109,6.705,6.72,3.205,3.21,6.615,2.365,13.73,0.14,0.029,0.13
110,6.92,6.92,3.73,3.74,6.215,1.81,11.705,0.15,0.026,0.13
111,6.88,6.91,3.865,3.865,6.535,1.805,13.965,0.14,0.029,0.14
112,6.86,6.875,3.95,3.95,6.515,1.905,14.095,0.135,0.026,0.14
113,6.82,6.855,3.855,3.86,6.03,1.73,11.115,0.145,0.034,0.14
114,6.915,6.935,3.795,3.79,5.925,1.72,9.865,0.145,0.035,0.14
115,6.89,6.88,3.615,3.625,6.25,3.84,12.83,0.12,0.031,0.14
116,6.935,6.92,3.39,3.405,6.36,3.9,13.305,0.125,0.035,0.135
117,6.9,6.915,3.76,3.76,6.44,3.445,14.1,0.13,0.037,0.13
