frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.8975,6.9025,2.655,2.4875,6.4425,1.115,14.655,0.1,0.0145,0.0125
2,6.975,6.8625,2.6125,2.485,6.3725,1.475,13.7225,0.105,-0.00975,0.0075
3,7.2575,7.02,2.76,2.5925,6.3375,0.9225,12.7775,0.0925,-0.04,-0.0275
4,7.1225,6.9125,2.765,2.5975,6.2875,1.07,12.5875,0.105,-0.03625,-0.025
5,6.925,6.895,2.75,2.6625,5.62,1.375,10.1825,0.125,-0.0085,0.025
6,6.8775,6.8475,2.5575,2.47,5.9625,1.655,12.025,0.125,-0.02575,0.04
7,6.7225,6.7175,2.53,2.4275,6.4425,2.7625,15.7675,0.1325,-0.01925,0.06
8,6.92,6.925,2.5625,2.51,6.105,3.955,14.275,0.1425,-0.0215,0.06
9,6.96,7,2.4,2.3675,5.875,5.7375,12.81,0.1575,-0.01175,0.0575
10,6.9575,7.0025,2.35,2.3125,5.5225,5.85,12.61,0.165,-0.00375,0.0625
11,7.0675,7.13,2.105,2.12,5.3825,6.1625,12.1175,0.18,0.0085,0.0625
12,7.07,7.1475,2.1825,2.2125,5.0025,5.8525,11.535,0.205,0.02125,0.07
13,7.1125,7.1775,2.5275,2.53,4.535,5.585,10.7375,0.2125,0.02425,0.0625
14,7.26,7.32,2.25,2.2725,4.4425,5.3775,10.115,0.2275,0.029,0.0575
15,7.2275,7.3125,1.97,1.99,4.965,6.24,11.1075,0.23,0.02875,0.0625
16,7.25,7.32,2.1025,2.11,4.6825,5.9125,10.85,0.23,0.02225,0.065
17,7.245,7.275,2.19,2.1775,4.68,6.045,10.47,0.2275,0.01175,0.0525
18,7.0175,7.0775,2.18,2.1625,4.6625,5.16,10.4225,0.1625,0.02525,0.0475
19,6.9925,7.025,2.215,2.1875,4.8225,4.3975,11.0625,0.13,0.0265,0.0475
20,6.8225,6.8125,2.515,2.445,4.9875,3.025,11.0875,0.09,0.02275,0.03
21,6.85,6.8625,2.51,2.4325,4.9725,2.8675,11.2675,0.09,0.02925,0.035
22,6.855,6.845,2.1425,2.0725,5.1,2.8325,11.8175,0.085,0.0315,0.03
23,6.9625,6.97,2.185,2.12,4.9975,2.9625,10.855,0.1025,0.036,0.0225
24,6.8325,6.84,2.2775,2.215,5.0525,3.015,10.4825,0.0925,0.0445,0.0275
25,6.7125,6.72,2.1375,2.0725,5.0925,2.855,11.225,0.095,0.0375,0.025
26,6.9175,6.92,2.095,1.97,4.935,2.7125,11.6975,0.1125,0.0335,0.02
27,6.725,6.755,2.26,2.145,4.8375,2.745,11.97,0.1225,0.0325,0.015
28,6.715,6.76,2.06,1.9625,4.89,2.655,12.36,0.125,0.03375,0.02
29,6.755,6.7775,2.01,1.905,4.93,2.57,12.4575,0.115,0.03925,0.0125
30,6.815,6.8,2.0125,1.8775,5.005,2.515,12.1175,0.1125,0.037,0.015
31,6.7775,6.77,2.0475,1.8975,5,2.6025,12.3175,0.105,0.038,0.01
32,6.66,6.6875,2.12,2.03,4.9925,2.5375,12.45,0.115,0.0355,0.0225
33,6.7625,6.8125,2.12,2.075,4.9175,2.6275,12.1025,0.1425,0.0525,0.03
34,6.9025,6.955,2.115,2.075,4.8025,2.9975,11.59,0.155,0.0725,0.025
35,6.8325,6.8775,2.1325,2.0775,5.16,3.3325,11.8125,0.145,0.0765,0.0225
36,6.935,6.97,2.2725,2.2225,5.34,3.6275,12.2125,0.1375,0.0685,0.0225
37,7.0375,7.0675,2.235,2.1775,5.5875,3.945,12.445,0.125,0.06225,0.0175
38,6.865,6.895,2.355,2.3225,5.38,3.79,12.5475,0.105,0.06275,0.0225
39,6.875,6.88,2.36,2.325,5.4925,3.75,12.6875,0.0875,0.05775,0.0275
40,6.8675,6.8925,2.205,2.1825,5.5125,3.5425,12.91,0.085,0.0615,0.025
41,6.8675,6.9,2.2475,2.255,5.72,3.5475,12.8875,0.0575,0.0645,0.0325
42,6.7875,6.7875,2.185,2.16,5.85,3.4425,13.6075,0.0175,0.077,0.045
43,6.6625,6.71,2.255,2.21,6.27,3.22,14.5425,0.01,0.09925,0.0575
44,6.7075,6.745,2.5275,2.4675,5.73,3.3475,13.5225,-0.025,0.08625,0.055
45,6.72,6.7425,2.485,2.3925,5.92,3.3075,13.8225,-0.0175,0.08525,0.045
46,6.6725,6.685,2.26,2.1825,6.255,2.605,14.195,-0.03,0.09475,0.055
47,6.69,6.6875,2.42,2.3225,6.11,2.455,14.3325,-0.005,0.0725,0.045
48,6.695,6.71,2.635,2.5375,6.425,2.14,15.4875,0.0175,0.068,0.045
49,6.715,6.695,2.58,2.485,6.745,1.835,15.4875,0.0475,0.04275,0.035
50,6.705,6.6325,2.6375,2.54,6.805,1.6825,15.5225,0.085,-0.006,0.0275
51,6.695,6.65,2.4575,2.35,6.8675,1.6925,15.52,0.1,-0.0005,0.03
52,6.846666667,6.803333333,2.216666667,2.116666667,6.706666667,1.696666667,15.83,0.08,0.0003333333333,0.03333333333
53,6.793333333,6.736666667,2.446666667,2.316666667,6.693333333,1.62,15.77,0.08,0.0003333333333,0.02666666667
