frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,8.21,8.364285714,2.76,2.71,5.958571429,0.91,13.76,0.1371428571,-0.02942857143,0.2771428571
2,8.131428571,8.271428571,2.72,2.757142857,6.282857143,0.9814285714,14.28142857,0.1214285714,-0.058,0.3171428571
3,8.292857143,8.395714286,2.841428571,2.821428571,6.302857143,0.9185714286,14.63428571,0.1628571429,-0.06671428571,0.34
4,8.284285714,8.387142857,2.857142857,2.845714286,6.315714286,0.9642857143,14.73571429,0.1542857143,-0.07242857143,0.34
5,8.29,8.388571429,2.841428571,2.834285714,6.33,0.9785714286,14.75571429,0.1557142857,-0.07257142857,0.3428571429
6,8.291428571,8.388571429,2.84,2.828571429,6.34,0.9757142857,14.74,0.1542857143,-0.07085714286,0.34
7,8.302857143,8.398571429,2.841428571,2.827142857,6.351428571,0.9714285714,14.75142857,0.1542857143,-0.07342857143,0.34
8,8.287142857,8.385714286,2.848571429,2.831428571,6.338571429,0.9671428571,14.74,0.1557142857,-0.07285714286,0.34
9,8.258571429,8.355714286,2.832857143,2.818571429,6.342857143,0.97,14.76571429,0.1542857143,-0.07428571429,0.34
10,8.271428571,8.368571429,2.848571429,2.84,6.355714286,0.9628571429,14.79857143,0.1542857143,-0.07457142857,0.34
11,8.247142857,8.341428571,2.855714286,2.847142857,6.364285714,0.9714285714,14.80285714,0.1514285714,-0.07657142857,0.34
12,8.234285714,8.322857143,2.858571429,2.848571429,6.364285714,0.9728571429,14.81857143,0.1542857143,-0.07371428571,0.34
13,8.254285714,8.35,2.854285714,2.845714286,6.358571429,0.9728571429,14.83714286,0.1542857143,-0.07242857143,0.34
14,8.274285714,8.367142857,2.838571429,2.827142857,6.361428571,0.98,14.85,0.1542857143,-0.07185714286,0.34
15,8.218571429,8.302857143,2.84,2.828571429,6.394285714,0.9828571429,14.81,0.1514285714,-0.074,0.3385714286
16,8.234285714,8.322857143,2.871428571,2.864285714,6.348571429,0.9785714286,14.81571429,0.1514285714,-0.07357142857,0.3371428571
17,8.212857143,8.298571429,2.868571429,2.855714286,6.354285714,0.9871428571,14.82285714,0.1485714286,-0.07571428571,0.3357142857
18,8.217142857,8.31,2.892857143,2.875714286,6.34,0.9771428571,14.83571429,0.1528571429,-0.07257142857,0.3328571429
19,8.231428571,8.321428571,2.884285714,2.865714286,6.364285714,0.9757142857,14.86714286,0.1528571429,-0.07328571429,0.3342857143
20,8.202857143,8.287142857,2.892857143,2.881428571,6.374285714,0.9842857143,14.88428571,0.1471428571,-0.076,0.33
21,8.205714286,8.29,2.888571429,2.877142857,6.365714286,0.9842857143,14.92,0.15,-0.075,0.33
22,8.177142857,8.272857143,2.882857143,2.87,6.404285714,0.9828571429,14.93714286,0.15,-0.07471428571,0.33
23,8.177142857,8.268571429,2.914285714,2.9,6.404285714,0.9785714286,14.96142857,0.1571428571,-0.07228571429,0.33
24,8.167142857,8.265714286,2.914285714,2.902857143,6.411428571,0.9842857143,14.98142857,0.1542857143,-0.07214285714,0.3285714286
25,8.167142857,8.267142857,2.907142857,2.894285714,6.41,0.98,15,0.1542857143,-0.07128571429,0.33
26,8.167142857,8.265714286,2.9,2.891428571,6.412857143,0.9828571429,15.03571429,0.1514285714,-0.071,0.33
27,8.155714286,8.254285714,2.884285714,2.88,6.44,0.99,15.06571429,0.1514285714,-0.07114285714,0.33
28,8.177142857,8.28,2.874285714,2.864285714,6.424285714,0.9885714286,15.10571429,0.15,-0.06857142857,0.3257142857
29,8.142857143,8.237142857,2.82,2.807142857,6.452857143,1.001428571,15.13142857,0.15,-0.06771428571,0.3228571429
30,8.137142857,8.24,2.802857143,2.795714286,6.464285714,1.007142857,15.17714286,0.15,-0.06928571429,0.3257142857
31,8.114285714,8.21,2.791428571,2.785714286,6.484285714,1.01,15.18428571,0.1528571429,-0.06842857143,0.3271428571
32,8.07,8.174285714,2.75,2.744285714,6.52,1.025714286,15.18142857,0.1528571429,-0.06785714286,0.3228571429
33,8.041428571,8.141428571,2.734285714,2.73,6.488571429,1.031428571,15.16,0.1485714286,-0.06828571429,0.3228571429
34,7.958571429,8.06,2.714285714,2.705714286,6.484285714,1.044285714,15.13428571,0.15,-0.06685714286,0.32
35,7.962857143,8.075714286,2.665714286,2.652857143,6.501428571,1.072857143,15.17285714,0.15,-0.06442857143,0.3185714286
36,7.862857143,7.967142857,2.672857143,2.662857143,6.53,1.072857143,15.16285714,0.1471428571,-0.06542857143,0.3157142857
37,7.755714286,7.858571429,2.681428571,2.658571429,6.562857143,1.077142857,15.20142857,0.1485714286,-0.06257142857,0.3114285714
38,7.685714286,7.797142857,2.704285714,2.698571429,6.552857143,1.071428571,15.18285714,0.15,-0.06257142857,0.3114285714
39,7.318571429,7.441428571,2.68,2.68,6.634285714,1.077142857,15.13857143,0.1528571429,-0.06128571429,0.31
40,7.344285714,7.47,2.614285714,2.615714286,6.637142857,1.1,15.16428571,0.1528571429,-0.06114285714,0.31
41,6.791428571,6.935714286,3.032857143,3.007142857,6.671428571,1.197142857,14.92428571,0.1557142857,-0.05171428571,0.3028571429
42,6.557142857,6.68,3.097142857,3.018571429,6.714285714,1.402857143,14.73142857,0.1471428571,-0.05114285714,0.29
43,6.5,6.641428571,3.162857143,3.068571429,6.681428571,1.47,14.56571429,0.1357142857,-0.041,0.2814285714
44,6.361428571,6.542857143,3.228571429,3.135714286,6.645714286,1.532857143,14.47857143,0.14,-0.03757142857,0.28
45,6.377142857,6.528571429,3.158571429,3.064285714,6.63,1.527142857,14.33285714,0.1428571429,-0.04657142857,0.28
46,6.295714286,6.474285714,3.187142857,3.095714286,6.594285714,1.591428571,14.36714286,0.1442857143,-0.04614285714,0.2814285714
47,6.414285714,6.54,3.167142857,3.081428571,6.527142857,1.521428571,14.29,0.1542857143,-0.05557142857,0.2842857143
48,6.454285714,6.572857143,3.075714286,3.008571429,6.501428571,1.51,14.24571429,0.1757142857,-0.06185714286,0.29
49,6.511428571,6.644285714,3.108571429,3.048571429,6.411428571,1.477142857,14.25428571,0.1828571429,-0.06771428571,0.29
50,6.621428571,6.721428571,2.988571429,2.934285714,6.392857143,1.437142857,14.20142857,0.2042857143,-0.07,0.2928571429
51,6.524285714,6.614285714,3.008571429,2.977142857,6.327142857,1.46,14.18428571,0.2328571429,-0.07742857143,0.2957142857
52,6.651428571,6.727142857,2.994285714,2.974285714,6.285714286,1.432857143,14.23857143,0.2371428571,-0.07871428571,0.3028571429
53,6.602857143,6.707142857,2.924285714,2.901428571,6.282857143,1.442857143,14.26142857,0.2357142857,-0.07757142857,0.2971428571
54,6.625714286,6.718571429,2.94,2.92,6.338571429,1.44,14.26,0.2371428571,-0.07714285714,0.3014285714
55,6.615714286,6.702857143,2.904285714,2.874285714,6.314285714,1.458571429,14.24428571,0.2371428571,-0.07471428571,0.2985714286
56,6.542857143,6.64,3.021428571,2.994285714,6.335714286,1.47,14.24285714,0.2357142857,-0.07628571429,0.29
57,6.585714286,6.68,3.044285714,3.025714286,6.37,1.447142857,14.27,0.23,-0.08257142857,0.2942857143
58,6.551428571,6.671428571,2.928571429,2.91,6.344285714,1.45,14.15857143,0.23,-0.08285714286,0.29
59,6.635714286,6.741428571,3.022857143,2.995714286,6.307142857,1.437142857,14.27142857,0.2214285714,-0.09,0.29
60,6.391428571,6.492857143,3.104285714,3.091428571,6.342857143,1.482857143,14.14142857,0.2271428571,-0.08585714286,0.2885714286
61,6.608571429,6.701428571,2.915714286,2.895714286,6.404285714,1.49,14.28,0.2257142857,-0.07757142857,0.2885714286
62,6.72,6.797142857,2.91,2.877142857,6.357142857,1.44,14.28,0.2357142857,-0.07328571429,0.29
63,6.627142857,6.702857143,2.928571429,2.894285714,6.35,1.457142857,14.21571429,0.2314285714,-0.07342857143,0.2885714286
64,6.785714286,6.847142857,2.904285714,2.868571429,6.372857143,1.425714286,14.31714286,0.2314285714,-0.07485714286,0.2885714286
65,6.701428571,6.777142857,2.905714286,2.872857143,6.364285714,1.462857143,14.21857143,0.2285714286,-0.07714285714,0.2871428571
66,6.691428571,6.762857143,2.962857143,2.932857143,6.341428571,1.434285714,14.27714286,0.2342857143,-0.07585714286,0.2871428571
67,6.825714286,6.88,2.852857143,2.815714286,6.374285714,1.39,14.33285714,0.2314285714,-0.08128571429,0.2871428571
68,6.637142857,6.704285714,3.005714286,2.977142857,6.345714286,1.442857143,14.28285714,0.23,-0.07971428571,0.28
69,6.747142857,6.797142857,3.044285714,3.007142857,6.325714286,1.422857143,14.33,0.2328571429,-0.08014285714,0.28
70,6.792857143,6.857142857,2.848571429,2.811428571,6.344285714,1.407142857,14.31285714,0.2271428571,-0.08642857143,0.2771428571
71,6.721428571,6.781428571,2.921428571,2.888571429,6.394285714,1.45,14.31285714,0.2342857143,-0.07628571429,0.2757142857
72,6.772857143,6.815714286,2.96,2.922857143,6.338571429,1.427142857,14.34428571,0.2328571429,-0.077,0.2785714286
73,6.932857143,6.994285714,2.828571429,2.77,6.348571429,1.405714286,14.32142857,0.2271428571,-0.075,0.2714285714
74,6.684285714,6.74,2.995714286,2.958571429,6.385714286,1.434285714,14.28571429,0.2314285714,-0.07928571429,0.2714285714
75,6.804285714,6.844285714,2.905714286,2.878571429,6.39,1.401428571,14.24571429,0.2285714286,-0.08442857143,0.27
76,6.788571429,6.855714286,2.905714286,2.875714286,6.377142857,1.424285714,14.22857143,0.22,-0.08671428571,0.27
77,6.652857143,6.707142857,3.04,3.017142857,6.365714286,1.418571429,14.12571429,0.2228571429,-0.08757142857,0.27
78,6.647142857,6.697142857,3.027142857,3.008571429,6.405714286,1.44,14.22,0.23,-0.083,0.27
79,6.63,6.697142857,3.018571429,3.002857143,6.415714286,1.434285714,14.19857143,0.2228571429,-0.085,0.2657142857
80,6.704285714,6.754285714,2.905714286,2.877142857,6.412857143,1.421428571,14.13714286,0.2228571429,-0.08342857143,0.26
81,6.702857143,6.738571429,2.958571429,2.93,6.422857143,1.43,14.17285714,0.2242857143,-0.086,0.26
82,6.758571429,6.782857143,2.875714286,2.85,6.421428571,1.417142857,14.06857143,0.2185714286,-0.08828571429,0.2557142857
83,6.658571429,6.708571429,2.981428571,2.957142857,6.405714286,1.414285714,14.16285714,0.2185714286,-0.08928571429,0.25
84,6.607142857,6.652857143,2.977142857,2.961428571,6.421428571,1.418571429,14.10142857,0.2142857143,-0.09357142857,0.25
85,6.581428571,6.634285714,3.072857143,3.065714286,6.418571429,1.407142857,14.15571429,0.21,-0.096,0.25
86,6.6,6.632857143,3.007142857,2.99,6.452857143,1.434285714,14.17571429,0.2185714286,-0.088,0.25
87,6.587142857,6.614285714,3.095714286,3.08,6.42,1.424285714,14.17,0.22,-0.08628571429,0.2414285714
88,6.614285714,6.638571429,3.042857143,3.02,6.45,1.435714286,14.17571429,0.2185714286,-0.08614285714,0.2414285714
