frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.18,6.145,2.565,2.625,6.705,1.52,15.195,-0.02,0.03,0.125
2,5.895,5.8625,2.64,2.6225,6.465,0.93,13.88,0.025,-0.02025,0.12
3,5.6675,5.6325,2.59,2.585,6.5025,0.9375,13.5175,0.0475,-0.026,0.1275
4,5.7325,5.6675,2.6275,2.6375,6.5,0.955,13.7125,0.0525,-0.03,0.125
5,5.7625,5.6925,2.7725,2.79,6.515,0.9825,13.5775,0.065,-0.02725,0.1275
6,5.7475,5.68,2.5775,2.6175,6.4725,1.0225,13.645,0.0625,-0.02125,0.1225
7,5.6875,5.605,2.8375,2.87,6.49,1.165,13.9475,0.0775,-0.01775,0.1175
8,5.7,5.615,3.15,3.1675,6.53,1.41,14.315,0.0975,-0.01375,0.105
9,5.8075,5.755,3.2725,3.2775,6.585,1.4125,14.515,0.1175,-0.00725,0.1025
10,6.1525,6.085,3.14,3.15,6.45,1.14,13.9775,0.135,-0.007,0.0975
11,6.165,6.065,3.1925,3.185,6.3275,0.82,13.7325,0.1625,-0.008,0.095
12,6.2425,6.1825,3.0425,3.03,6.27,0.775,13.625,0.155,-0.00425,0.09
13,6.48,6.435,2.6425,2.655,6.285,0.7275,13.8275,0.11,-0.00575,0.095
14,6.495,6.45,2.7175,2.7275,6.405,0.935,14.2875,0.055,-0.00475,0.0975
15,6.5675,6.525,2.82,2.82,6.3025,0.7875,13.9825,0.0375,-0.00325,0.095
16,6.69,6.615,2.71,2.7225,6.28,0.6925,14.0225,0.025,-0.01025,0.0925
17,6.8025,6.745,2.665,2.66,6.3075,0.7225,13.88,0.0175,-0.014,0.095
18,6.91,6.86,2.5725,2.56,6.33,0.74,13.88,0.01,-0.01725,0.085
19,7.2075,7.18,2.465,2.45,6.2675,0.755,13.9625,-0.0175,-0.023,0.08
20,7.3075,7.3,2.4325,2.435,6.215,0.7975,13.815,-0.0625,-0.0315,0.08
21,7.2675,7.265,2.4125,2.43,6.2375,0.8,13.93,-0.095,-0.038,0.07
22,7.1325,7.1175,2.52,2.535,6.2975,0.7825,13.54,-0.13,-0.041,0.0725
23,7.0475,7.03,2.5625,2.575,6.385,0.75,13.515,-0.18,-0.04125,0.075
24,7.1375,7.1,2.66,2.6675,6.4225,0.74,13.4975,-0.195,-0.04125,0.075
25,7.26,7.2325,2.71,2.73,6.3025,0.75,13.59,-0.2325,-0.044,0.0775
26,8.13,8.1025,2.26,2.3,6.355,0.6625,13.94,-0.2575,-0.05225,0.0875
27,8.575,8.54,2.08,2.1225,6.3275,0.64,14.1025,-0.275,-0.06,0.0925
28,8.705,8.645,1.9525,1.985,6.2475,0.6125,14.0475,-0.29,-0.07575,0.1
29,8.17,8.11,1.9725,2.0125,6.37,0.6075,14.08,-0.2725,-0.09225,0.115
30,7.4825,7.4225,2.135,2.15,6.5075,0.6825,14.0725,-0.2325,-0.102,0.1175
31,6.97,6.9225,2.4025,2.42,6.4375,0.745,13.9075,-0.185,-0.10675,0.1225
32,6.5975,6.545,2.655,2.6575,6.4275,0.8,13.78,-0.1475,-0.1035,0.125
33,6.3125,6.2675,2.9,2.9025,6.4775,0.8325,13.9475,-0.1225,-0.102,0.135
34,6.145,6.11,2.9975,3.0075,6.5225,0.89,14.06,-0.1075,-0.09825,0.14
35,6.22,6.173333333,2.92,2.933333333,6.573333333,0.8466666667,13.77333333,-0.1033333333,-0.09933333333,0.14
