frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,7.188,7.158,2.84,2.74,7.42,4.048,17.838,0.172,-0.0536,0.07
2,7.462222222,7.454444444,2.771111111,2.668888889,6.792222222,4.838888889,16.54333333,0.1744444444,-0.1046666667,0.1144444444
3,7.413333333,7.422222222,2.741111111,2.676666667,6.367777778,4.918888889,16.00888889,0.1644444444,-0.1225555556,0.1422222222
4,7.388888889,7.404444444,2.7,2.654444444,6.106666667,4.763333333,15.72333333,0.17,-0.1252222222,0.1611111111
5,7.372222222,7.396666667,2.683333333,2.652222222,6.122222222,4.915555556,15.88444444,0.1755555556,-0.1282222222,0.1788888889
6,7.387777778,7.404444444,2.654444444,2.627777778,6.027777778,4.844444444,15.87888889,0.1833333333,-0.1254444444,0.1955555556
7,7.397777778,7.421111111,2.624444444,2.602222222,6.168888889,4.934444444,15.99333333,0.1855555556,-0.1258888889,0.1988888889
8,7.353333333,7.367777778,2.628888889,2.61,6.153333333,4.913333333,15.95222222,0.19,-0.1256666667,0.2
9,7.317777778,7.328888889,2.625555556,2.593333333,6.248888889,4.892222222,15.99333333,0.19,-0.1274444444,0.1988888889
10,7.268888889,7.281111111,2.635555556,2.592222222,6.4,4.873333333,16.08666667,0.1811111111,-0.126,0.1933333333
11,7.236666667,7.235555556,2.646666667,2.581111111,6.523333333,4.891111111,16.20888889,0.1788888889,-0.1206666667,0.1822222222
12,7.204444444,7.195555556,2.641111111,2.562222222,6.678888889,4.896666667,16.39,0.17,-0.1182222222,0.1722222222
13,7.183333333,7.173333333,2.66,2.575555556,6.735555556,4.851111111,16.41888889,0.1688888889,-0.116,0.1677777778
14,7.153333333,7.134444444,2.656666667,2.565555556,6.876666667,4.882222222,16.49888889,0.1611111111,-0.1146666667,0.16
15,7.153333333,7.127777778,2.623333333,2.527777778,6.921111111,4.902222222,16.62,0.1566666667,-0.1148888889,0.16
16,7.143333333,7.131111111,2.582222222,2.492222222,6.97,4.975555556,16.68666667,0.1566666667,-0.1134444444,0.1588888889
17,7.122222222,7.114444444,2.6,2.506666667,7.023333333,4.965555556,16.74333333,0.16,-0.1093333333,0.1544444444
18,7.104444444,7.098888889,2.616666667,2.521111111,7.012222222,4.924444444,16.74111111,0.1588888889,-0.1078888889,0.1544444444
19,7.095555556,7.09,2.616666667,2.525555556,7.034444444,4.831111111,16.72111111,0.1633333333,-0.1072222222,0.1588888889
20,7.068888889,7.062222222,2.653333333,2.555555556,7.051111111,4.836666667,16.71888889,0.1655555556,-0.1063333333,0.1588888889
21,7.106666667,7.1,2.591111111,2.497777778,7.051111111,4.876666667,16.68555556,0.1655555556,-0.1055555556,0.16
22,7.58,7.552222222,2.485555556,2.383333333,6.984444444,4.892222222,16.89111111,0.1633333333,-0.1046666667,0.1544444444
23,7.823333333,7.787777778,2.407777778,2.304444444,6.922222222,4.924444444,17.02888889,0.16,-0.1018888889,0.15
24,7.792222222,7.752222222,2.343333333,2.222222222,7.062222222,4.911111111,17.03,0.16,-0.1003333333,0.15
25,7.502222222,7.47,2.481111111,2.37,7.06,4.84,16.90888889,0.1611111111,-0.101,0.15
26,7.298888889,7.284444444,2.503333333,2.395555556,7.068888889,4.735555556,16.82222222,0.1722222222,-0.1006666667,0.15
27,7.226666667,7.212222222,2.523333333,2.413333333,7.078888889,4.714444444,16.76,0.1766666667,-0.09933333333,0.15
28,7.171111111,7.15,2.538888889,2.434444444,7.072222222,4.657777778,16.83111111,0.1733333333,-0.09755555556,0.15
29,7.136666667,7.123333333,2.556666667,2.448888889,7.031111111,4.691111111,16.83888889,0.17,-0.09877777778,0.15
30,7.146666667,7.125555556,2.547777778,2.443333333,7.027777778,4.672222222,16.85222222,0.17,-0.09788888889,0.1477777778
31,7.145555556,7.123333333,2.553333333,2.447777778,7.083333333,4.656666667,16.90777778,0.1722222222,-0.09555555556,0.1444444444
32,7.13,7.103333333,2.562222222,2.456666667,7.124444444,4.636666667,17.00666667,0.17,-0.09488888889,0.1444444444
33,7.135555556,7.107777778,2.564444444,2.452222222,7.155555556,4.456666667,17.19555556,0.17,-0.09466666667,0.1366666667
34,7.142222222,7.102222222,2.596666667,2.486666667,7.225555556,4.268888889,17.34444444,0.1688888889,-0.09466666667,0.1311111111
35,7.146666667,7.102222222,2.585555556,2.466666667,7.352222222,4.141111111,17.69888889,0.1677777778,-0.09311111111,0.13
36,7.144444444,7.086666667,2.612222222,2.504444444,7.363333333,3.973333333,17.82222222,0.1688888889,-0.09333333333,0.13
37,7.161111111,7.101111111,2.646666667,2.536666667,7.42,3.901111111,18.24333333,0.1555555556,-0.09433333333,0.1233333333
38,7.194444444,7.134444444,2.568888889,2.465555556,7.532222222,3.84,18.4,0.15,-0.09533333333,0.12
