frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,8.874,8.838,2.534,2.482,6.1,3.964,14.774,0.022,0.0368,0.04
2,8.571666667,8.54,2.38,2.328333333,5.981666667,5.135,14.265,0.02333333333,0.036,0.045
3,8.363333333,8.353333333,2.418333333,2.393333333,5.988333333,4.653333333,14.06666667,0.045,0.0415,0.04666666667
4,8.181666667,8.175,2.48,2.42,5.983333333,3.111666667,13.81166667,0.02833333333,0.04783333333,0.03666666667
5,8.08,8.086666667,2.553333333,2.501666667,5.756666667,3.12,13.345,0.025,0.0545,0.045
6,8.156666667,8.196666667,2.541666667,2.516666667,5.543333333,2.41,12.045,0.035,0.06216666667,0.055
7,8.166666667,8.213333333,2.56,2.555,5.701666667,1.793333333,12.12833333,0.04166666667,0.06466666667,0.06666666667
8,8.236666667,8.268333333,2.563333333,2.563333333,5.8,1.581666667,12.14666667,0.04666666667,0.06316666667,0.07
9,8.325,8.338333333,2.553333333,2.556666667,5.58,1.408333333,10.36333333,0.065,0.058,0.06833333333
10,8.318333333,8.326666667,2.558333333,2.566666667,5.483333333,3.383333333,9.568333333,0.09,0.05633333333,0.07
11,8.198333333,8.19,2.541666667,2.545,5.775,2.241666667,12.59333333,0.09,0.04783333333,0.07
12,8.068333333,8.05,2.561666667,2.551666667,5.938333333,1.803333333,13.89,0.09,0.04516666667,0.06
13,8.118333333,8.088333333,2.606666667,2.593333333,6,1.505,14.315,0.085,0.0415,0.055
14,8.245,8.221666667,2.58,2.573333333,6.136666667,2.946666667,14.92666667,0.08833333333,0.04133333333,0.05666666667
15,8.338333333,8.313333333,2.546666667,2.538333333,6.078333333,4.278333333,14.615,0.095,0.042,0.055
16,8.326666667,8.311666667,2.546666667,2.55,6.013333333,4.501666667,14.505,0.1,0.03966666667,0.06
17,8.208333333,8.193333333,2.551666667,2.553333333,6.073333333,4.291666667,14.445,0.09833333333,0.03733333333,0.05833333333
