frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,7.99,8.07,3.72,3.94,7.27,2.03,17.39,-0.01,-0.071,0.04
2,7.9,7.98,3.83,4.08,7.15,2.24,17.24,0.0,-0.07,0.05
3,7.84,7.93,3.74,3.99,7.26,1.93,17.31,0.0,-0.077,0.05
4,7.79,7.87,3.81,4.06,7.18,2.59,17.25,-0.01,-0.081,0.05
5,7.75,7.84,3.79,4.03,7.17,2.43,17.24,0.0,-0.08,0.05
6,7.82,7.87,3.82,4.05,7.38,2.6,17.27,0.01,-0.073,0.05
7,7.73,7.81,3.83,4.08,7.25,2.26,17.37,-0.01,-0.075,0.05
8,7.62,7.69,3.68,3.95,7.23,2.55,17.18,-0.01,-0.069,0.05
9,7.66,7.72,3.96,4.19,7.47,2.55,17.36,-0.02,-0.071,0.04
10,7.74,7.83,3.84,4.09,7.27,2.75,17.5,-0.01,-0.072,0.04
11,7.74,7.81,3.77,4.03,7.45,2.14,17.26,-0.01,-0.074,0.04
12,7.78,7.87,3.68,3.94,7.41,2.49,17.48,-0.01,-0.072,0.03
13,7.74,7.81,3.66,3.94,7.45,2.06,17.28,-0.01,-0.072,0.04
14,7.71,7.81,3.67,3.94,7.39,1.98,17.24,-0.01,-0.072,0.04
15,7.55,7.64,3.66,3.94,7.25,2.14,17.25,-0.02,-0.07,0.04
16,7.58,7.66,3.41,3.66,7.19,2.15,17.1,-0.01,-0.067,0.04
17,7.38,7.43,3.65,3.9,7.32,1.99,16.97,-0.02,-0.07,0.04
18,7.28,7.34,3.65,3.9,7.22,1.83,16.96,-0.01,-0.066,0.04
19,7.11,7.19,3.72,3.96,7.25,2.14,17.11,-0.01,-0.062,0.04
20,7.02,7.07,3.78,4.02,7.22,2.14,17.15,0.0,-0.066,0.04
21,6.82,6.87,3.91,4.14,7.13,2.12,17.08,0.0,-0.066,0.04
22,6.82,6.86,3.81,4.05,7.32,2.37,17.24,0.01,-0.066,0.04
23,6.83,6.87,3.84,4.07,7.29,2.12,17.19,0.01,-0.067,0.04
24,6.69,6.74,3.65,3.89,7.27,2.8,16.95,0.01,-0.062,0.05
25,6.7,6.75,3.89,4.11,7.1,2.1,17.09,-0.01,-0.061,0.05
26,6.68,6.71,3.88,4.1,7.29,1.98,17.09,0.0,-0.061,0.05
27,6.68,6.7,3.9,4.1,7.11,2.47,17.04,0.0,-0.056,0.05
28,6.76,6.78,3.69,3.9,7.2,3.54,17.06,0.0,-0.054,0.04
29,6.76,6.78,3.69,3.9,7.2,3.54,17.06,0.0,-0.054,0.04
30,6.76,6.78,3.69,3.9,7.2,3.54,17.06,0.0,-0.054,0.04
31,6.76,6.78,3.69,3.9,7.2,3.54,17.06,0.0,-0.054,0.04
32,6.76,6.78,3.69,3.9,7.2,3.54,17.06,0.0,-0.054,0.04
1,8.14,8.2,3.8,3.98,6.9,2.72,17.24,0.02,-0.061,0.05
2,7.68,7.74,3.82,4.03,7.46,2.14,17.33,-0.01,-0.07,0.05
3,7.98,8.05,3.83,4.06,7.25,2.25,17.48,-0.01,-0.068,0.05
