frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,5.89,5.94,2.95,2.93,6.43,2.66,10.26,0.25,-0.181,0.01
2,6.12,6.23,2.67,2.76,7.67,4.34,16.69,0.21,-0.136,0.0
3,5.92,6.04,2.82,2.88,7.92,4.75,16.37,0.25,-0.14,0.0
4,5.91,6.09,2.88,2.99,7.86,4.37,16.76,0.23,-0.119,0.01
5,5.84,6.01,2.8,2.88,7.81,4.67,16.55,0.25,-0.122,0.0
6,5.92,6.08,2.85,2.92,7.36,3.5,15.87,0.24,-0.125,0.0
7,5.86,6.03,2.79,2.87,7.88,3.55,15.98,0.24,-0.123,0.0
8,5.81,6.0,2.8,2.9,7.45,3.98,16.14,0.23,-0.119,0.01
9,5.78,5.95,2.9,3.01,7.67,3.63,16.0,0.23,-0.125,0.01
10,5.88,6.07,2.81,2.92,7.78,3.61,16.12,0.23,-0.127,0.01
11,5.88,6.07,2.91,3.03,7.89,3.64,16.21,0.22,-0.118,0.01
12,5.86,6.07,2.97,3.08,7.74,3.73,16.19,0.24,-0.118,0.01
13,5.92,6.12,2.92,3.04,7.75,3.71,16.13,0.24,-0.122,0.01
14,5.92,6.12,2.92,3.04,7.75,3.71,16.13,0.24,-0.122,0.01
15,5.92,6.12,2.92,3.04,7.75,3.71,16.13,0.24,-0.122,0.01
16,5.92,6.12,2.92,3.04,7.75,3.71,16.13,0.24,-0.122,0.01
17,5.92,6.12,2.92,3.04,7.75,3.71,16.13,0.24,-0.122,0.01
1,5.89,5.93,3.09,3.04,6.37,2.63,10.16,0.25,-0.183,0.0
2,6.42,6.56,3.03,3.11,7.03,5.14,16.37,0.24,-0.172,0.01
3,6.27,6.42,2.97,3.11,7.19,5.14,17.17,0.21,-0.179,0.02
4,6.02,6.16,2.8,2.92,7.45,4.78,16.57,0.23,-0.138,0.0
5,5.88,6.0,2.9,2.99,7.83,4.76,16.24,0.24,-0.138,0.0
6,5.88,5.9,3.06,3.15,7.85,3.95,16.42,0.24,-0.121,0.01
7,5.98,6.16,2.72,2.81,7.61,3.51,16.4,0.24,-0.127,0.0
8,5.84,6.02,2.92,3.0,7.79,3.49,16.14,0.24,-0.119,0.0
9,5.82,6.02,2.86,2.93,7.64,3.57,16.09,0.24,-0.122,0.0
10,5.86,6.04,2.79,2.91,7.66,3.61,16.11,0.22,-0.121,0.0
11,5.81,6.0,2.83,2.91,7.76,3.63,16.0,0.25,-0.118,0.01
12,5.87,6.04,2.69,2.84,7.57,3.57,16.2,0.19,-0.121,0.01
13,5.9,6.11,2.92,3.04,7.58,3.6,16.1,0.25,-0.119,0.02
14,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
15,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
16,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
17,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
18,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
1,5.95,6.14,2.78,2.85,7.76,3.97,16.66,0.24,-0.113,0.0
2,5.93,6.11,2.73,2.84,7.52,3.59,16.35,0.2,-0.12,0.0
3,5.81,6.0,2.88,2.98,7.8,3.55,16.04,0.23,-0.121,0.01
4,5.94,6.12,2.86,2.95,7.54,3.6,16.02,0.23,-0.116,0.01
5,5.88,6.07,2.97,3.08,7.44,3.69,15.97,0.24,-0.118,0.01
6,5.86,6.04,2.96,3.07,7.88,3.58,16.16,0.23,-0.121,0.01
7,6.05,6.25,2.79,2.89,7.59,3.8,16.17,0.25,-0.111,0.0
8,6.05,6.25,2.79,2.89,7.59,3.8,16.17,0.25,-0.111,0.0
9,6.05,6.25,2.79,2.89,7.59,3.8,16.17,0.25,-0.111,0.0
10,6.05,6.25,2.79,2.89,7.59,3.8,16.17,0.25,-0.111,0.0
1,6.42,6.56,3.03,3.11,7.03,5.14,16.37,0.24,-0.172,0.01
2,6.24,6.39,2.97,3.12,7.27,4.99,17.1,0.19,-0.173,0.02
3,5.96,6.09,2.85,2.97,7.52,4.74,16.29,0.21,-0.141,0.02
4,5.95,6.09,2.81,2.9,7.44,4.8,16.41,0.24,-0.131,0.01
5,5.88,6.05,2.86,2.96,7.65,4.81,16.55,0.25,-0.122,0.0
6,5.74,5.9,3.06,3.15,7.85,3.95,16.42,0.24,-0.121,0.01
7,5.82,6.02,2.82,2.9,7.82,3.82,16.69,0.24,-0.12,0.0
8,5.83,6.04,2.87,2.93,7.51,4.0,16.13,0.25,-0.116,0.0
9,5.77,5.96,2.9,2.99,7.82,3.71,16.51,0.24,-0.116,0.0
10,5.76,5.95,3.0,3.06,7.99,3.65,16.4,0.24,-0.12,0.01
11,5.75,5.95,3.02,3.13,7.82,3.62,16.47,0.22,-0.123,0.01
12,5.83,6.03,2.84,2.97,7.77,3.88,16.48,0.22,-0.116,0.02
13,5.9,6.11,2.92,3.04,7.58,3.6,16.1,0.25,-0.119,0.02
14,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
15,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
16,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
17,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
18,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
1,6.37,6.51,3.1,3.15,6.98,5.17,15.29,0.22,-0.172,0.0
2,5.99,6.13,2.9,2.99,7.37,4.86,16.35,0.23,-0.14,0.01
3,5.91,6.04,2.9,2.97,7.53,4.72,16.26,0.24,-0.133,0.0
4,5.79,5.97,3.0,3.13,7.79,4.33,16.86,0.22,-0.121,0.01
5,5.85,6.03,2.77,2.88,7.81,4.36,16.52,0.24,-0.114,0.01
6,5.96,6.18,2.73,2.87,7.38,3.9,16.24,0.23,-0.12,0.01
7,5.83,6.01,3.0,3.05,7.54,3.55,16.18,0.24,-0.119,0.01
8,5.84,6.02,2.91,2.99,7.72,3.55,16.59,0.25,-0.121,0.0
9,5.68,5.87,3.07,3.15,8.16,3.58,16.34,0.23,-0.122,0.01
10,5.81,6.0,2.89,3.01,7.57,3.6,16.41,0.24,-0.121,0.01
11,6.0,6.19,2.77,2.86,7.82,3.83,16.3,0.23,-0.116,0.01
12,5.96,6.14,2.79,2.89,7.67,3.63,16.29,0.24,-0.116,0.0
13,5.9,6.09,2.97,3.06,7.64,3.71,16.14,0.24,-0.114,0.0
14,5.9,6.09,2.97,3.06,7.64,3.71,16.14,0.24,-0.114,0.0
15,5.9,6.09,2.97,3.06,7.64,3.71,16.14,0.24,-0.114,0.0
16,5.9,6.09,2.97,3.06,7.64,3.71,16.14,0.24,-0.114,0.0
1,5.89,5.93,3.09,3.04,6.37,2.63,10.16,0.25,-0.183,0.0
2,6.42,6.56,3.03,3.11,7.03,5.14,16.37,0.24,-0.172,0.01
3,6.24,6.39,2.97,3.12,7.27,4.99,17.1,0.19,-0.173,0.02
4,5.96,6.09,2.85,2.97,7.52,4.74,16.29,0.21,-0.141,0.02
5,5.95,6.09,2.81,2.9,7.44,4.8,16.41,0.24,-0.131,0.01
6,5.81,6.0,2.94,3.06,7.79,4.51,16.85,0.23,-0.121,0.01
7,6.05,6.22,2.73,2.8,7.84,3.61,16.61,0.25,-0.118,0.0
8,5.82,6.02,2.82,2.9,7.82,3.82,16.69,0.24,-0.12,0.0
9,5.83,6.04,2.87,2.93,7.51,4.0,16.13,0.25,-0.116,0.0
10,5.77,5.96,2.9,2.99,7.82,3.71,16.51,0.24,-0.116,0.0
11,5.76,5.95,3.0,3.06,7.99,3.65,16.4,0.24,-0.12,0.01
12,5.75,5.95,3.02,3.13,7.82,3.62,16.47,0.22,-0.123,0.01
13,5.83,6.03,2.84,2.97,7.77,3.88,16.48,0.22,-0.116,0.02
14,5.9,6.11,2.92,3.04,7.58,3.6,16.1,0.25,-0.119,0.02
15,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
16,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
17,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
18,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
19,6.02,6.23,2.77,2.89,7.76,3.68,16.15,0.23,-0.118,0.02
1,6.42,6.56,3.03,3.11,7.03,5.14,16.37,0.24,-0.172,0.01
2,6.26,6.4,2.98,3.1,7.23,5.14,17.15,0.21,-0.18,0.02
3,5.93,6.04,2.83,2.96,7.54,4.77,16.46,0.2,-0.142,0.01
4,5.9,6.05,2.82,2.91,7.62,4.72,16.55,0.24,-0.131,0.0
5,5.78,5.97,2.96,3.08,7.78,4.37,16.8,0.23,-0.119,0.01
6,5.79,5.96,2.98,3.08,7.8,4.54,16.47,0.24,-0.115,0.01
7,5.98,6.17,2.64,2.77,7.75,3.65,16.6,0.21,-0.118,0.01
8,5.86,6.06,2.84,2.92,7.79,3.89,16.57,0.24,-0.113,0.0
9,5.84,6.03,2.78,2.87,7.74,3.77,16.54,0.25,-0.113,0.0
10,5.81,5.99,2.71,2.83,7.68,3.55,16.48,0.19,-0.118,0.01
11,5.92,6.12,2.68,2.79,7.48,3.81,16.1,0.25,-0.117,0.01
12,5.83,6.02,2.82,2.95,7.47,3.67,16.57,0.21,-0.116,0.01
13,5.86,6.06,2.87,2.98,7.55,3.63,16.16,0.22,-0.112,0.01
14,5.94,6.14,2.86,2.97,7.5,3.75,16.03,0.24,-0.115,0.01
15,5.91,6.11,2.88,2.98,8.0,3.68,16.5,0.24,-0.118,0.01
16,5.91,6.11,2.88,2.98,8.0,3.68,16.5,0.24,-0.118,0.01
17,5.91,6.11,2.88,2.98,8.0,3.68,16.5,0.24,-0.118,0.01
18,5.91,6.11,2.88,2.98,8.0,3.68,16.5,0.24,-0.118,0.01
1,5.89,5.94,2.95,2.93,6.43,2.66,10.26,0.25,-0.181,0.01
2,6.29,6.43,2.99,3.05,7.35,5.13,15.49,0.21,-0.17,0.01
