frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.67,6.67,2.79,2.81,7.14,1.09,16.9,-0.07,-0.222,-0.13
2,7.22,7.24,2.63,2.63,6.63,1.13,17.03,-0.08,-0.225,-0.17
3,7.2,7.25,2.62,2.61,6.6,1.1,17.16,-0.07,-0.24,-0.17
4,7.04,7.06,2.8,2.79,6.93,1.49,16.98,-0.06,-0.23,-0.15
5,7.09,7.13,2.5,2.54,6.43,2.65,15.84,-0.06,-0.226,-0.12
6,7.08,7.11,2.29,2.34,6.63,1.86,15.05,-0.06,-0.236,-0.12
7,7.09,7.09,2.99,3.02,6.39,1.66,14.5,-0.05,-0.24,-0.12
8,7.07,7.09,2.72,2.76,6.49,1.4,13.63,-0.05,-0.245,-0.11
9,7.23,7.25,3.07,3.1,6.32,1.41,13.42,-0.03,-0.246,-0.1
10,7.08,7.09,2.92,2.96,6.46,1.63,13.55,-0.04,-0.255,-0.08
11,7.03,7.02,2.98,3.0,6.84,1.66,14.89,-0.03,-0.242,-0.1
12,6.86,6.85,3.6,3.62,6.7,1.89,15.91,0.0,-0.235,-0.1
13,6.64,6.63,3.39,3.39,6.69,2.2,16.21,-0.01,-0.221,-0.11
14,6.56,6.6,2.99,3.0,7.23,2.41,16.6,0.01,-0.221,-0.12
15,6.65,6.68,3.01,3.07,6.92,3.05,16.7,0.0,-0.225,-0.11
16,6.44,6.48,3.48,3.56,6.41,3.51,16.37,0.0,-0.224,-0.09
17,6.44,6.46,3.33,3.39,6.62,2.84,17.31,0.01,-0.205,-0.08
18,6.5,6.5,3.33,3.37,6.93,2.5,17.05,0.02,-0.201,-0.07
19,6.41,6.44,2.97,3.01,7.26,1.37,17.58,0.01,-0.193,-0.09
20,6.37,6.42,2.91,2.96,7.27,1.31,17.67,0.0,-0.193,-0.09
21,6.34,6.41,3.09,3.1,7.24,1.13,17.23,0.03,-0.163,-0.08
22,6.42,6.44,2.98,2.97,6.9,1.25,16.85,0.04,-0.157,-0.1
23,6.43,6.49,3.3,3.26,6.73,1.8,16.95,0.07,-0.136,-0.08
24,6.47,6.6,3.19,3.25,6.42,2.5,16.09,0.08,-0.117,-0.05
25,6.62,6.83,2.96,2.99,6.09,1.77,14.84,0.08,-0.095,-0.04
26,6.51,6.71,3.07,3.14,5.88,1.91,14.23,0.06,-0.092,-0.03
27,6.53,6.71,3.46,3.52,6.01,1.72,14.79,0.04,-0.083,-0.03
28,6.4,6.58,3.05,3.1,7.68,1.75,15.82,0.01,-0.09,-0.03
29,6.35,6.53,3.24,3.31,7.87,1.82,15.98,-0.02,-0.096,-0.02
30,6.77,7.02,3.13,3.19,6.16,1.51,14.8,0.05,-0.065,-0.03
31,6.43,6.43,2.98,3.02,6.89,1.81,15.79,0.04,-0.113,-0.06
32,6.5,6.49,3.12,3.11,7.05,1.35,15.98,0.05,-0.102,-0.06
33,6.57,6.58,2.8,2.82,7.17,2.14,16.34,0.02,-0.095,-0.06
34,6.76,6.78,2.74,2.79,6.54,2.52,16.14,0.0,-0.091,-0.05
35,6.77,6.77,2.94,2.96,6.79,2.41,15.92,-0.01,-0.092,-0.05
36,6.86,6.89,3.04,3.05,6.65,2.5,16.28,-0.01,-0.091,-0.05
37,6.83,6.86,2.89,2.9,6.65,2.5,16.03,0.0,-0.094,-0.04
38,6.89,6.91,2.9,2.93,6.65,2.61,15.94,0.0,-0.093,-0.02
39,6.85,6.86,2.94,2.96,6.68,2.42,15.63,0.0,-0.095,-0.02
40,6.93,6.96,2.72,2.76,6.55,2.32,15.59,0.0,-0.093,-0.02
41,6.93,6.94,2.82,2.84,6.57,2.22,15.39,0.01,-0.096,-0.02
42,7.01,7.01,2.78,2.79,6.47,2.1,15.32,0.01,-0.092,-0.02
43,6.95,6.96,2.98,2.99,6.53,2.0,15.42,0.02,-0.092,-0.03
44,6.93,6.96,2.8,2.82,6.55,2.02,15.24,0.03,-0.091,-0.03
45,6.99,7.01,2.64,2.66,6.52,1.98,15.22,0.02,-0.092,-0.02
46,6.93,6.95,2.6,2.63,6.58,1.97,15.24,0.03,-0.095,-0.02
47,6.93,6.95,2.6,2.63,6.58,1.97,15.24,0.03,-0.095,-0.02
48,6.93,6.95,2.6,2.63,6.58,1.97,15.24,0.03,-0.095,-0.02
49,6.93,6.95,2.6,2.63,6.58,1.97,15.24,0.03,-0.095,-0.02
1,6.35,6.39,3.14,3.17,6.81,2.19,16.48,-0.08,-0.269,-0.06
2,6.2,6.25,2.81,2.87,7.29,2.05,15.4,-0.05,-0.293,-0.09
3,6.63,6.64,3.35,3.38,6.63,1.5,14.11,-0.06,-0.296,-0.09
4,6.44,6.46,2.64,2.69,6.98,1.7,14.11,-0.06,-0.302,-0.09
5,6.56,6.6,3.24,3.28,6.91,1.65,13.93,-0.04,-0.297,-0.08
6,6.32,6.42,2.46,2.52,7.38,1.76,13.99,-0.04,-0.29,-0.09
7,6.38,6.51,2.74,2.79,6.73,2.51,14.99,-0.03,-0.275,-0.09
8,6.3,6.48,2.89,2.92,6.32,2.5,15.18,-0.01,-0.267,-0.09
