frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.71,6.76,2.8,2.85,6.06,2.72,11.98,0.25,0.077,0.15
2,6.76,6.81,2.72,2.82,6.18,2.77,11.71,0.26,0.073,0.16
3,6.71,6.77,2.71,2.82,6.11,3.49,11.82,0.26,0.075,0.16
4,6.54,6.57,2.99,3.09,6.1,5.3,12.31,0.26,0.077,0.16
5,6.61,6.66,2.39,2.54,6.19,5.41,12.66,0.26,0.073,0.16
6,6.39,6.44,2.42,2.57,6.06,5.38,12.12,0.25,0.077,0.16
7,6.3,6.34,2.41,2.52,6.12,5.56,12.21,0.24,0.08,0.14
8,6.35,6.4,2.45,2.56,5.93,5.76,11.34,0.23,0.077,0.14
9,6.39,6.46,2.37,2.48,5.85,6.28,11.13,0.22,0.071,0.14
10,6.5,6.56,2.33,2.43,5.83,7.18,11.27,0.19,0.061,0.14
11,6.38,6.44,2.34,2.43,5.8,7.7,11.38,0.17,0.043,0.13
12,6.4,6.45,2.33,2.42,5.79,7.7,11.33,0.17,0.042,0.13
13,6.47,6.51,2.21,2.29,5.77,7.88,11.52,0.15,0.019,0.12
14,6.51,6.55,2.12,2.18,5.76,8.1,11.59,0.14,-0.005,0.11
15,6.62,6.68,2.06,2.13,5.79,7.78,11.75,0.13,-0.029,0.11
16,6.57,6.6,2.08,2.15,5.73,8.09,11.62,0.12,-0.032,0.12
17,6.7,6.72,2.13,2.17,5.78,7.77,11.62,0.12,-0.03,0.13
18,6.7,6.7,2.18,2.21,5.85,7.35,11.88,0.12,-0.028,0.13
19,6.92,6.93,2.31,2.34,5.83,6.36,12.06,0.09,-0.02,0.13
20,6.45,6.45,2.92,2.94,5.89,4.92,12.17,0.08,-0.008,0.12
21,6.54,6.53,2.85,2.86,5.88,5.01,12.24,0.1,-0.004,0.12
22,6.4,6.43,2.77,2.78,5.97,3.61,12.07,0.08,0.012,0.12
23,6.33,6.36,2.75,2.75,6.09,4.0,12.91,0.08,0.026,0.12
24,6.2,6.23,2.84,2.84,6.17,3.82,13.15,0.08,0.042,0.13
25,5.91,5.95,3.12,3.14,6.17,3.6,13.27,0.08,0.048,0.13
26,6.03,6.08,3.0,3.03,6.18,3.59,13.23,0.08,0.049,0.13
27,4.36,4.38,3.92,3.9,6.4,3.57,13.38,0.09,0.061,0.14
28,4.12,4.14,4.29,4.28,6.33,3.35,12.84,0.09,0.062,0.13
29,4.23,4.25,4.22,4.21,6.22,3.72,11.93,0.09,0.063,0.13
30,4.32,4.35,4.31,4.33,5.93,2.67,9.78,0.11,0.065,0.14
31,4.66,4.69,3.19,3.23,6.0,3.32,9.62,0.12,0.067,0.14
32,4.35,4.41,4.43,4.44,5.9,2.12,9.34,0.1,0.071,0.15
33,4.31,4.37,4.45,4.46,5.92,2.05,9.48,0.08,0.069,0.16
34,4.27,4.32,4.34,4.35,6.02,2.27,9.9,0.07,0.061,0.16
35,4.32,4.34,4.27,4.28,6.01,2.32,9.7,0.06,0.061,0.16
36,4.08,4.09,4.36,4.37,6.11,3.32,10.78,0.05,0.051,0.15
37,4.05,4.05,4.27,4.26,6.3,4.1,12.03,0.03,0.048,0.15
38,4.01,4.02,4.44,4.43,6.4,3.9,12.67,0.03,0.049,0.15
39,4.0,4.02,4.3,4.3,6.44,4.22,13.42,0.03,0.044,0.15
40,4.05,4.05,4.21,4.22,6.38,4.17,13.43,0.04,0.043,0.15
41,4.03,4.04,4.27,4.28,6.41,4.02,13.96,0.03,0.043,0.15
42,4.05,4.06,4.26,4.27,6.42,4.11,14.08,0.04,0.042,0.15
43,4.08,4.11,4.15,4.15,6.41,4.03,14.1,0.03,0.042,0.14
44,4.06,4.09,4.19,4.19,6.39,3.98,14.01,0.04,0.037,0.13
45,4.07,4.1,4.13,4.12,6.37,3.97,14.0,0.04,0.037,0.13
46,5.86,5.85,3.1,3.09,6.22,4.94,14.25,0.02,0.034,0.13
47,6.26,6.29,2.67,2.68,6.23,5.4,14.24,0.01,0.034,0.15
48,6.25,6.28,2.6,2.65,6.11,6.77,14.09,0.03,0.032,0.16
49,6.31,6.37,2.51,2.56,6.15,7.0,14.18,0.02,0.033,0.16
50,6.43,6.49,2.33,2.39,6.0,7.63,14.18,0.03,0.031,0.17
51,6.53,6.58,2.34,2.41,5.99,7.57,14.24,0.04,0.029,0.17
52,6.46,6.52,2.47,2.5,6.12,6.68,14.33,0.02,0.028,0.16
53,6.33,6.38,2.95,2.98,6.24,4.48,13.91,0.01,0.025,0.15
54,6.4,6.41,2.89,2.91,6.17,3.9,13.82,0.02,0.027,0.15
55,6.78,6.81,2.52,2.55,6.43,3.26,15.28,0.0,0.022,0.14
56,6.86,6.87,2.46,2.49,6.42,2.54,15.3,0.0,0.029,0.14
57,6.76,6.77,2.49,2.56,6.36,1.27,14.99,0.0,0.027,0.14
58,6.87,6.88,2.37,2.45,6.35,2.34,15.14,0.0,0.034,0.14
59,6.64,6.65,2.59,2.67,6.36,2.28,15.15,0.0,0.033,0.14
60,6.45,6.47,2.87,2.93,6.13,1.83,13.8,0.04,0.042,0.14
61,6.41,6.42,2.7,2.7,6.26,3.03,14.13,0.0,0.042,0.17
62,6.33,6.35,2.61,2.63,6.44,3.92,15.35,0.04,0.04,0.18
63,6.32,6.35,2.63,2.66,6.51,3.8,15.38,0.03,0.04,0.19
64,6.03,6.06,2.72,2.82,6.74,3.88,15.72,0.1,0.036,0.16
65,6.1,6.12,2.22,2.28,7.06,4.08,16.82,0.12,0.05,0.12
66,5.94,5.98,2.44,2.45,7.04,3.97,17.11,0.13,0.052,0.11
67,5.94,5.99,2.41,2.41,7.08,3.93,17.03,0.12,0.053,0.11
68,5.95,5.99,2.43,2.42,7.06,4.01,17.3,0.13,0.053,0.12
69,5.91,5.94,2.43,2.43,6.92,4.11,16.88,0.13,0.052,0.13
