frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.6,6.58,2.1,2.12,6.66,2.97,14.69,-0.01,0.131,0.06
2,6.59,6.57,2.62,2.59,6.46,1.68,14.95,0.06,-0.006,0.04
1,7.25,7.22,2.82,2.77,6.29,5.83,11.38,0.12,0.0,0.05
2,7.25,7.22,2.82,2.77,6.29,5.83,11.38,0.12,0.0,0.05
1,6.87,6.88,2.74,2.64,6.37,1.32,15.22,0.11,0.017,0.03
2,7.24,7.27,2.88,2.78,6.0,1.38,13.44,0.12,0.016,0.02
3,7.59,7.35,3.11,2.92,6.29,1.38,13.72,0.12,-0.038,-0.04
4,7.61,7.34,3.18,3.02,6.54,1.14,13.71,0.13,-0.055,-0.05
5,7.58,7.44,3.13,3.03,6.26,0.99,12.77,0.14,-0.032,-0.02
6,7.65,7.5,3.39,3.21,6.03,1.29,11.54,0.16,-0.036,0.0
7,7.39,7.21,3.02,2.85,6.38,1.05,12.66,0.16,-0.05,0.0
8,7.46,7.38,2.96,2.69,6.85,2.75,18.12,0.18,-0.028,0.0
9,7.29,7.27,2.43,2.3,5.64,6.51,12.11,0.19,-0.02,0.05
10,6.97,7.04,2.57,2.54,6.1,6.98,12.87,0.17,-0.005,0.05
11,7.13,7.17,2.2,2.2,4.96,6.89,10.72,0.19,-0.002,0.06
12,7.1,7.14,2.44,2.44,5.0,7.11,11.14,0.18,-0.002,0.05
13,7.18,7.26,2.37,2.36,4.85,6.99,10.83,0.22,0.029,0.06
14,7.12,7.13,2.1,2.06,4.71,6.6,10.22,0.21,0.015,0.05
15,7.23,7.29,2.17,2.2,4.34,6.13,9.02,0.25,0.038,0.07
16,7.26,7.37,2.21,2.25,4.94,7.28,10.43,0.24,0.029,0.06
17,7.35,7.44,2.25,2.29,4.42,6.44,9.69,0.22,0.022,0.06
18,7.41,7.43,2.44,2.44,4.66,7.1,10.41,0.25,0.015,0.04
19,7.1,7.16,2.39,2.37,4.62,5.95,9.37,0.19,0.016,0.05
20,7.11,7.16,2.42,2.4,4.39,6.49,9.97,0.11,0.024,0.05
21,6.68,6.71,3.0,2.95,4.27,3.16,10.8,0.09,0.031,0.04
22,6.89,6.92,2.67,2.62,4.74,3.0,10.43,0.09,0.037,0.03
23,6.68,6.68,2.59,2.54,5.08,2.43,11.87,0.08,0.031,0.03
24,6.89,6.89,1.98,1.91,5.44,2.98,11.55,0.09,0.037,0.03
25,6.97,6.95,1.93,1.9,5.32,3.01,10.86,0.09,0.042,0.03
26,6.75,6.76,2.26,2.22,5.03,3.0,9.96,0.11,0.032,0.03
27,6.75,6.78,2.43,2.38,4.7,2.63,10.75,0.08,0.038,0.02
28,6.69,6.71,2.0,1.87,4.71,2.66,11.53,0.12,0.036,0.02
29,6.72,6.72,2.14,2.01,4.84,2.61,12.0,0.11,0.043,0.02
30,6.9,6.94,2.14,2.03,4.77,2.66,12.29,0.13,0.039,0.01
31,7.07,7.06,2.13,2.01,4.78,2.64,12.03,0.12,0.036,0.01
32,6.83,6.88,2.36,2.26,4.97,2.35,11.92,0.11,0.037,0.02
33,6.55,6.6,2.57,2.48,5.02,2.35,11.71,0.1,0.036,0.02
34,6.88,6.87,2.49,2.42,5.28,2.67,12.62,0.1,0.038,0.02
35,6.72,6.77,2.45,2.38,4.7,2.89,11.21,0.17,0.079,0.03
36,6.88,6.95,2.04,1.99,4.7,3.26,11.34,0.16,0.083,0.02
1,7.05,7.08,2.1,1.99,5.31,3.46,11.87,0.18,0.08,0.02
2,6.93,6.97,2.17,2.19,5.51,3.81,12.62,0.08,0.056,0.03
3,6.78,6.8,2.16,2.19,5.92,3.28,12.74,0.04,0.067,0.04
4,6.85,6.93,2.55,2.53,5.97,3.11,13.44,0.02,0.102,0.05
5,6.75,6.75,2.04,1.99,6.29,3.66,14.43,-0.02,0.089,0.06
6,6.84,6.83,2.54,2.44,6.23,4.04,14.32,0.0,0.052,0.02
7,6.56,6.65,2.67,2.58,5.6,3.06,13.58,0.0,0.072,0.04
8,6.75,6.77,2.19,2.08,5.54,2.72,13.3,-0.02,0.092,0.06
9,6.61,6.64,2.6,2.5,6.86,2.11,15.5,-0.01,0.103,0.06
10,6.81,6.76,2.17,2.07,7.1,1.92,16.08,0.0,0.082,0.04
1,6.72,6.67,2.67,2.6,6.97,1.68,15.11,0.11,-0.012,0.03
2,6.72,6.67,2.67,2.6,6.97,1.68,15.11,0.11,-0.012,0.03
3,6.72,6.67,2.67,2.6,6.97,1.68,15.11,0.11,-0.012,0.03
1,6.87,6.93,2.62,2.44,6.59,1.08,15.19,0.1,0.028,0.02
2,6.91,6.84,2.57,2.46,6.4,1.66,14.29,0.11,-0.001,0.02
3,7.22,7.01,2.75,2.59,6.33,0.93,12.43,0.09,-0.033,-0.02
4,7.12,6.89,2.79,2.61,6.52,0.94,13.12,0.1,-0.04,-0.03
5,6.99,6.93,2.85,2.74,5.69,1.47,10.2,0.12,-0.007,0.01
6,6.87,6.83,2.57,2.47,5.65,0.72,9.95,0.12,-0.023,0.04
7,6.77,6.79,2.43,2.28,6.67,2.15,17.01,0.12,-0.012,0.06
8,6.82,6.82,2.31,2.23,6.45,2.99,15.02,0.14,-0.02,0.06
9,7.13,7.13,2.46,2.41,5.84,6.47,12.09,0.16,-0.022,0.05
