frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,7.17,7.15,2.53,2.43,7.03,4.66,16.81,0.17,-0.098,0.15
2,7.14,7.11,2.58,2.47,7.13,4.64,16.98,0.18,-0.094,0.14
3,7.12,7.09,2.58,2.48,7.11,4.64,16.99,0.17,-0.095,0.14
4,7.13,7.09,2.55,2.44,7.13,4.52,17.22,0.17,-0.095,0.14
5,7.14,7.1,2.58,2.47,7.21,4.31,17.25,0.17,-0.096,0.13
6,7.15,7.1,2.58,2.46,7.36,4.14,17.7,0.16,-0.092,0.13
7,7.15,7.1,2.58,2.46,7.36,4.15,17.7,0.16,-0.093,0.13
8,7.16,7.09,2.59,2.48,7.43,3.84,18.01,0.16,-0.098,0.12
9,7.18,7.11,2.62,2.51,7.5,3.91,18.39,0.15,-0.095,0.12
10,7.18,7.11,2.62,2.51,7.5,3.91,18.39,0.15,-0.095,0.12
11,7.18,7.11,2.62,2.51,7.5,3.91,18.39,0.15,-0.095,0.12
12,7.18,7.12,2.57,2.47,7.49,3.83,18.41,0.15,-0.096,0.13
1,7.07,7.03,2.84,2.74,7.65,3.93,18.65,0.17,-0.066,0.07
2,7.25,7.24,2.81,2.72,7.38,4.26,17.77,0.16,-0.087,0.09
3,7.44,7.44,2.8,2.72,6.88,4.81,16.56,0.17,-0.104,0.12
4,7.39,7.39,2.83,2.75,6.86,4.78,16.59,0.17,-0.106,0.12
5,7.38,7.39,2.73,2.67,6.23,4.81,15.83,0.16,-0.125,0.15
6,7.36,7.4,2.67,2.64,6.19,5.11,16.02,0.17,-0.131,0.17
7,7.39,7.43,2.64,2.61,6.17,5.1,16.02,0.18,-0.131,0.19
8,7.42,7.44,2.61,2.58,6.12,5.02,15.82,0.19,-0.124,0.2
9,7.39,7.42,2.65,2.62,6.27,4.93,15.8,0.19,-0.124,0.2
10,7.38,7.39,2.62,2.59,6.06,5.05,15.76,0.19,-0.13,0.2
11,7.31,7.32,2.61,2.57,6.34,4.91,16.0,0.18,-0.128,0.2
12,7.25,7.26,2.64,2.59,6.55,4.91,16.09,0.18,-0.125,0.19
13,7.16,7.15,2.65,2.57,6.68,4.72,16.38,0.16,-0.12,0.17
14,7.18,7.16,2.66,2.58,6.74,4.74,16.65,0.16,-0.119,0.17
15,7.15,7.14,2.69,2.61,6.84,5.0,16.48,0.17,-0.113,0.16
16,7.16,7.13,2.64,2.54,6.9,4.83,16.54,0.16,-0.113,0.16
17,7.14,7.12,2.59,2.51,6.91,4.89,16.74,0.16,-0.115,0.15
18,7.12,7.12,2.57,2.48,7.03,4.75,16.73,0.15,-0.113,0.16
19,7.1,7.09,2.6,2.5,7.03,4.85,16.58,0.16,-0.109,0.15
20,7.11,7.11,2.61,2.51,7.01,4.76,16.83,0.16,-0.109,0.16
21,7.07,7.06,2.65,2.55,6.96,4.77,16.7,0.16,-0.106,0.16
22,7.06,7.06,2.65,2.56,7.07,4.77,16.71,0.16,-0.106,0.16
23,7.19,7.18,2.5,2.41,7.07,4.82,16.82,0.17,-0.107,0.16
24,7.88,7.84,2.51,2.4,6.88,4.82,16.85,0.15,-0.105,0.15
25,7.8,7.76,2.4,2.28,6.97,4.86,17.01,0.16,-0.099,0.15
26,7.8,7.76,2.33,2.21,7.07,4.87,17.1,0.16,-0.101,0.15
27,7.4,7.38,2.48,2.36,7.12,4.83,16.79,0.16,-0.103,0.15
28,7.31,7.29,2.49,2.38,7.0,4.84,16.57,0.18,-0.097,0.16
29,7.24,7.22,2.49,2.38,7.07,4.67,16.78,0.17,-0.099,0.15
30,7.17,7.15,2.56,2.45,7.08,4.64,16.78,0.17,-0.098,0.15
31,7.15,7.14,2.56,2.46,7.02,4.68,16.83,0.18,-0.1,0.15
32,7.14,7.12,2.56,2.45,7.09,4.66,16.96,0.17,-0.097,0.14
33,7.14,7.11,2.56,2.45,7.15,4.64,17.02,0.17,-0.096,0.14
34,7.15,7.12,2.52,2.41,7.19,4.56,17.14,0.17,-0.095,0.14
35,7.12,7.09,2.55,2.44,7.14,4.53,17.19,0.17,-0.095,0.14
36,7.16,7.1,2.61,2.5,7.37,4.1,17.58,0.17,-0.094,0.13
37,7.15,7.09,2.58,2.46,7.37,4.14,17.67,0.16,-0.094,0.13
38,7.14,7.07,2.62,2.51,7.38,3.82,17.89,0.16,-0.094,0.13
39,7.18,7.12,2.59,2.48,7.43,3.84,17.95,0.16,-0.096,0.12
40,7.19,7.13,2.59,2.48,7.52,3.86,18.4,0.15,-0.094,0.12
41,7.19,7.13,2.59,2.48,7.52,3.86,18.4,0.15,-0.094,0.12
42,7.19,7.13,2.59,2.48,7.52,3.86,18.4,0.15,-0.094,0.12
43,7.19,7.13,2.59,2.48,7.52,3.86,18.4,0.15,-0.094,0.12
1,7.01,6.97,2.88,2.79,7.69,3.62,18.58,0.17,-0.028,0.05
2,7.44,7.44,2.74,2.66,6.53,4.84,16.47,0.16,-0.12,0.13
3,7.35,7.37,2.72,2.68,6.43,5.12,16.32,0.16,-0.128,0.15
4,7.4,7.4,2.67,2.64,5.98,4.58,15.79,0.18,-0.123,0.17
5,7.39,7.42,2.68,2.65,6.16,4.85,15.93,0.18,-0.13,0.19
6,7.41,7.43,2.65,2.62,5.97,4.77,16.03,0.19,-0.126,0.2
7,7.39,7.42,2.66,2.63,6.02,4.7,16.03,0.18,-0.128,0.19
8,7.3,7.31,2.61,2.59,5.98,4.9,16.35,0.19,-0.127,0.2
9,7.29,7.3,2.64,2.6,6.18,4.88,16.08,0.18,-0.128,0.2
10,7.24,7.26,2.63,2.59,6.47,4.93,16.17,0.17,-0.125,0.19
11,7.25,7.25,2.63,2.56,6.58,5.04,16.16,0.18,-0.119,0.18
12,7.22,7.22,2.64,2.55,6.69,5.05,16.35,0.17,-0.115,0.17
13,7.14,7.13,2.67,2.58,6.87,4.83,16.45,0.17,-0.112,0.16
14,7.16,7.13,2.65,2.55,6.89,4.85,16.45,0.16,-0.113,0.16
15,7.14,7.12,2.6,2.51,6.91,4.89,16.66,0.15,-0.115,0.16
16,7.16,7.14,2.58,2.49,7.03,5.04,16.77,0.16,-0.11,0.16
17,7.1,7.08,2.61,2.52,7.03,4.93,16.65,0.16,-0.108,0.15
18,7.12,7.12,2.62,2.52,7.0,5.01,16.64,0.16,-0.106,0.16
19,7.07,7.06,2.63,2.54,7.08,4.83,16.81,0.17,-0.107,0.15
