frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,8.0,8.01,2.51,2.47,5.86,3.2,13.67,0.0,0.047,0.04
2,8.28,8.31,2.6,2.61,5.77,1.51,12.02,0.05,0.06,0.07
3,8.29,8.31,2.52,2.52,5.76,1.66,12.11,0.04,0.062,0.07
4,8.35,8.36,2.55,2.56,5.39,1.4,8.62,0.07,0.058,0.07
5,8.32,8.33,2.53,2.54,5.49,3.78,9.51,0.1,0.055,0.07
6,8.16,8.15,2.53,2.52,5.87,1.87,13.24,0.09,0.049,0.06
7,8.04,8.02,2.6,2.58,5.95,1.79,14.0,0.09,0.046,0.06
8,8.16,8.12,2.62,2.6,6.06,1.38,14.41,0.08,0.041,0.05
9,8.33,8.31,2.53,2.53,6.07,4.6,14.69,0.1,0.041,0.06
10,8.31,8.29,2.53,2.53,6.04,4.48,14.41,0.1,0.04,0.06
11,8.2,8.19,2.57,2.59,5.97,4.03,14.42,0.1,0.037,0.06
12,8.2,8.19,2.57,2.58,6.04,3.93,14.51,0.1,0.037,0.06
13,8.2,8.19,2.57,2.58,6.04,3.93,14.51,0.1,0.037,0.06
14,8.2,8.19,2.57,2.58,6.04,3.93,14.51,0.1,0.037,0.06
15,8.2,8.19,2.57,2.58,6.04,3.93,14.51,0.1,0.037,0.06
1,8.44,8.41,2.5,2.51,5.89,1.41,13.64,0.02,0.031,0.05
2,8.05,8.06,2.57,2.53,5.67,2.28,13.06,0.02,0.057,0.05
3,8.03,8.05,2.52,2.5,5.69,2.39,12.94,0.01,0.052,0.06
4,8.2,8.24,2.52,2.51,5.48,2.44,11.5,0.03,0.063,0.06
5,8.15,8.18,2.53,2.52,5.81,1.61,12.4,0.04,0.066,0.06
6,8.29,8.32,2.54,2.54,5.76,1.58,12.11,0.05,0.062,0.07
7,8.32,8.32,2.58,2.58,5.52,3.72,9.8,0.09,0.056,0.07
8,8.18,8.18,2.57,2.57,5.82,1.96,13.24,0.09,0.047,0.06
9,8.05,8.03,2.6,2.6,5.91,1.82,13.92,0.09,0.044,0.06
10,8.12,8.09,2.67,2.66,5.92,1.57,14.23,0.09,0.041,0.06
11,8.28,8.25,2.55,2.55,6.17,3.42,15.04,0.09,0.042,0.06
12,8.36,8.33,2.54,2.52,6.06,4.43,14.46,0.1,0.045,0.05
13,8.41,8.4,2.52,2.51,6.01,4.64,14.52,0.1,0.04,0.06
14,8.19,8.18,2.56,2.56,6.11,3.85,14.5,0.09,0.036,0.06
15,8.21,8.18,2.57,2.57,6.04,4.21,14.55,0.1,0.037,0.05
16,8.21,8.18,2.57,2.57,6.04,4.21,14.55,0.1,0.037,0.05
17,8.21,8.18,2.57,2.57,6.04,4.21,14.55,0.1,0.037,0.05
18,8.21,8.18,2.57,2.57,6.04,4.21,14.55,0.1,0.037,0.05
1,7.52,7.63,2.88,2.91,5.68,1.56,12.74,0.08,0.015,0.12
2,8.28,8.28,2.46,2.46,5.82,4.21,14.01,0.04,0.041,0.06
3,8.04,8.04,2.58,2.53,5.87,3.16,13.79,0.01,0.051,0.04
4,8.07,8.09,2.52,2.49,5.67,2.44,12.9,0.03,0.056,0.05
5,8.22,8.27,2.53,2.51,5.48,2.41,11.51,0.04,0.065,0.06
6,8.15,8.19,2.55,2.54,5.82,1.59,12.39,0.04,0.065,0.06
7,8.31,8.34,2.54,2.54,5.77,1.57,12.1,0.06,0.064,0.07
8,8.36,8.37,2.55,2.55,5.39,1.4,8.63,0.08,0.059,0.07
9,8.19,8.18,2.56,2.57,5.81,1.97,13.2,0.09,0.046,0.07
10,8.06,8.03,2.6,2.59,5.91,1.81,13.93,0.09,0.045,0.06
11,8.12,8.1,2.67,2.66,5.93,1.59,14.24,0.09,0.041,0.06
12,8.24,8.21,2.68,2.67,6.06,2.73,14.98,0.09,0.042,0.05
13,8.36,8.34,2.53,2.52,6.04,4.53,14.49,0.1,0.044,0.05
14,8.41,8.39,2.57,2.57,6.05,4.39,14.57,0.1,0.042,0.06
15,8.2,8.19,2.59,2.6,5.95,4.2,14.46,0.1,0.038,0.06
16,8.23,8.2,2.55,2.55,6.02,4.42,14.5,0.1,0.037,0.06
17,8.23,8.2,2.55,2.55,6.02,4.42,14.5,0.1,0.037,0.06
18,8.23,8.2,2.55,2.55,6.02,4.42,14.5,0.1,0.037,0.06
19,8.23,8.2,2.55,2.55,6.02,4.42,14.5,0.1,0.037,0.06
1,7.59,7.65,2.77,2.81,5.5,1.63,9.76,0.08,0.031,0.09
2,8.01,8.0,2.57,2.54,5.86,2.66,13.71,-0.01,0.047,0.05
3,8.05,8.06,2.5,2.49,5.69,2.47,12.91,0.01,0.052,0.06
4,8.19,8.23,2.52,2.5,5.51,2.42,11.57,0.02,0.063,0.06
5,8.15,8.19,2.54,2.53,5.81,1.62,12.39,0.04,0.067,0.06
6,8.31,8.35,2.54,2.53,5.78,1.62,12.08,0.06,0.063,0.07
7,8.36,8.38,2.55,2.56,5.39,1.38,8.66,0.08,0.059,0.07
8,8.3,8.31,2.53,2.53,5.51,3.77,9.54,0.1,0.055,0.07
9,8.17,8.16,2.53,2.52,5.86,1.86,13.19,0.09,0.049,0.06
10,8.04,8.02,2.59,2.57,5.96,1.82,13.98,0.09,0.046,0.06
11,8.15,8.11,2.62,2.6,6.06,1.37,14.39,0.08,0.041,0.05
12,8.33,8.31,2.52,2.51,6.08,4.59,14.7,0.1,0.043,0.06
13,8.42,8.39,2.56,2.56,6.07,4.73,14.65,0.1,0.041,0.06
