frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.41,6.31,2.22,2.25,6.58,4.32,19.68,0.36,-0.079,0.06
2,6.44,6.32,2.18,2.21,6.51,4.77,19.41,0.36,-0.079,0.06
3,6.44,6.32,2.18,2.21,6.51,4.77,19.41,0.36,-0.079,0.06
4,6.42,6.32,2.17,2.2,6.5,4.79,19.42,0.36,-0.079,0.06
5,6.43,6.32,2.19,2.21,6.54,4.77,19.44,0.36,-0.079,0.06
6,6.4,6.3,2.19,2.22,6.54,4.79,19.44,0.37,-0.079,0.06
7,6.4,6.29,2.18,2.21,6.53,4.79,19.45,0.36,-0.079,0.06
8,6.43,6.32,2.22,2.25,6.56,4.31,19.66,0.36,-0.079,0.06
9,6.43,6.33,2.18,2.21,6.55,4.77,19.41,0.36,-0.078,0.06
10,6.45,6.35,2.21,2.24,6.6,4.35,19.64,0.36,-0.08,0.06
11,6.46,6.35,2.22,2.25,6.55,4.34,19.64,0.36,-0.08,0.06
12,6.42,6.32,2.23,2.26,6.57,4.32,19.66,0.36,-0.079,0.06
13,6.39,6.28,2.23,2.26,6.59,4.32,19.7,0.35,-0.08,0.06
14,6.41,6.31,2.17,2.2,6.54,4.78,19.45,0.36,-0.079,0.06
15,6.4,6.29,2.19,2.21,6.56,4.77,19.41,0.36,-0.079,0.06
16,6.39,6.3,2.19,2.21,6.54,4.78,19.41,0.37,-0.079,0.06
17,6.4,6.29,2.17,2.2,6.56,4.77,19.44,0.36,-0.078,0.06
18,6.42,6.32,2.23,2.26,6.56,4.35,19.67,0.36,-0.08,0.06
19,6.42,6.32,2.23,2.26,6.56,4.35,19.67,0.36,-0.08,0.06
20,6.42,6.32,2.23,2.26,6.56,4.35,19.67,0.36,-0.08,0.06
21,6.42,6.32,2.18,2.21,6.54,4.78,19.42,0.36,-0.078,0.06
22,6.42,6.32,2.18,2.2,6.54,4.79,19.44,0.37,-0.078,0.06
23,6.37,6.27,2.19,2.22,6.53,4.79,19.43,0.37,-0.079,0.06
24,6.46,6.35,2.18,2.21,6.53,4.77,19.41,0.36,-0.079,0.06
25,6.42,6.32,2.18,2.2,6.53,4.8,19.45,0.36,-0.078,0.06
26,6.45,6.35,2.23,2.25,6.58,4.38,19.66,0.37,-0.079,0.06
27,6.44,6.34,2.22,2.25,6.57,4.31,19.67,0.36,-0.079,0.06
28,6.44,6.33,2.22,2.25,6.58,4.34,19.68,0.36,-0.079,0.06
29,6.41,6.3,2.23,2.26,6.62,4.31,19.7,0.36,-0.079,0.06
30,6.41,6.3,2.23,2.26,6.6,4.31,19.66,0.36,-0.079,0.06
31,6.41,6.3,2.23,2.26,6.59,4.36,19.66,0.36,-0.079,0.06
32,6.4,6.31,2.23,2.26,6.56,4.33,19.65,0.36,-0.08,0.06
33,6.41,6.3,2.22,2.24,6.58,4.32,19.67,0.36,-0.079,0.06
34,6.44,6.34,2.18,2.21,6.53,4.78,19.42,0.36,-0.079,0.06
35,6.44,6.34,2.18,2.21,6.55,4.77,19.42,0.37,-0.079,0.06
36,6.4,6.3,2.19,2.22,6.55,4.79,19.45,0.36,-0.079,0.06
37,6.41,6.3,2.19,2.22,6.53,4.78,19.46,0.36,-0.079,0.06
38,6.39,6.29,2.18,2.21,6.52,4.78,19.46,0.36,-0.079,0.06
39,6.41,6.31,2.18,2.21,6.53,4.77,19.43,0.36,-0.079,0.06
40,6.4,6.3,2.19,2.22,6.53,4.79,19.43,0.36,-0.078,0.06
41,6.4,6.3,2.18,2.21,6.52,4.79,19.46,0.36,-0.079,0.06
42,6.39,6.29,2.19,2.22,6.54,4.77,19.43,0.36,-0.079,0.06
43,6.41,6.31,2.23,2.26,6.55,4.33,19.65,0.36,-0.08,0.06
44,6.41,6.3,2.22,2.25,6.57,4.33,19.69,0.36,-0.079,0.06
45,6.42,6.32,2.23,2.25,6.56,4.35,19.67,0.37,-0.079,0.05
46,6.4,6.29,2.23,2.26,6.58,4.33,19.7,0.36,-0.079,0.06
47,6.41,6.29,2.22,2.24,6.59,4.31,19.7,0.36,-0.079,0.06
48,6.41,6.29,2.22,2.24,6.59,4.31,19.7,0.36,-0.079,0.06
49,6.41,6.29,2.22,2.24,6.59,4.31,19.7,0.36,-0.079,0.06
50,6.44,6.34,2.19,2.21,6.53,4.78,19.44,0.36,-0.079,0.06
51,6.42,6.3,2.22,2.25,6.61,4.35,19.67,0.36,-0.079,0.06
52,6.41,6.3,2.23,2.26,6.59,4.32,19.65,0.36,-0.08,0.06
