frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.69,6.68,3.06,3.05,6.36,1.27,12.94,0.22,-0.019,0.01
2,6.69,6.68,3.06,3.06,6.36,1.27,12.93,0.22,-0.019,0.01
3,6.69,6.68,3.06,3.06,6.36,1.27,12.93,0.22,-0.019,0.01
4,6.67,6.66,3.06,3.06,6.36,1.27,12.94,0.21,-0.019,0.01
5,6.62,6.62,3.15,3.15,6.36,0.9,12.8,0.22,-0.016,0.01
6,6.63,6.63,3.15,3.15,6.36,0.9,12.83,0.22,-0.016,0.01
7,6.63,6.63,3.15,3.15,6.36,0.9,12.82,0.22,-0.017,0.01
8,6.65,6.65,3.13,3.12,6.35,0.91,12.83,0.22,-0.016,0.01
9,6.69,6.67,3.06,3.05,6.35,1.28,12.93,0.22,-0.019,0.01
10,6.62,6.62,3.15,3.15,6.36,0.91,12.82,0.22,-0.017,0.01
11,6.69,6.67,3.06,3.05,6.37,1.27,12.94,0.21,-0.019,0.01
12,6.69,6.67,3.06,3.05,6.37,1.27,12.94,0.21,-0.019,0.01
13,6.69,6.67,3.06,3.05,6.37,1.27,12.94,0.21,-0.019,0.01
14,6.63,6.63,3.15,3.14,6.37,0.91,12.82,0.22,-0.017,0.01
15,6.63,6.63,3.15,3.14,6.36,0.91,12.82,0.22,-0.017,0.01
16,6.69,6.68,3.06,3.05,6.36,1.27,12.93,0.22,-0.018,0.01
17,6.69,6.68,3.06,3.05,6.37,1.27,12.94,0.22,-0.018,0.0
18,6.63,6.63,3.14,3.14,6.36,0.92,12.83,0.22,-0.017,0.01
19,6.63,6.63,3.15,3.15,6.36,0.91,12.82,0.22,-0.017,0.01
20,6.69,6.68,3.06,3.05,6.36,1.27,12.93,0.22,-0.018,0.01
21,6.69,6.68,3.07,3.06,6.36,1.28,12.94,0.22,-0.019,0.01
22,6.63,6.63,3.15,3.14,6.36,0.91,12.83,0.22,-0.017,0.01
23,6.62,6.62,3.15,3.15,6.36,0.91,12.83,0.22,-0.016,0.01
24,6.69,6.68,3.06,3.05,6.37,1.27,12.95,0.22,-0.018,0.01
25,6.69,6.68,3.06,3.05,6.36,1.26,12.94,0.22,-0.018,0.01
26,6.62,6.62,3.15,3.14,6.36,0.91,12.83,0.22,-0.017,0.01
27,6.68,6.67,3.06,3.05,6.36,1.28,12.93,0.22,-0.019,0.01
28,6.69,6.67,3.07,3.06,6.37,1.28,12.94,0.21,-0.019,0.01
29,6.69,6.67,3.06,3.05,6.35,1.28,12.93,0.22,-0.019,0.01
30,6.63,6.63,3.15,3.15,6.36,0.91,12.82,0.22,-0.016,0.01
31,6.69,6.68,3.06,3.05,6.36,1.28,12.93,0.22,-0.018,0.01
32,6.68,6.67,3.06,3.06,6.36,1.28,12.93,0.22,-0.019,0.01
33,6.69,6.68,3.06,3.05,6.36,1.28,12.94,0.22,-0.019,0.01
34,6.69,6.68,3.07,3.06,6.37,1.27,12.93,0.22,-0.018,0.01
