frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,7.67,7.67,2.56,2.51,6.14,1.15,11.5,0.07,0.008,0.04
2,7.69,7.68,2.55,2.5,6.12,1.17,11.39,0.08,0.002,0.04
3,7.69,7.68,2.55,2.5,6.12,1.17,11.39,0.08,0.002,0.04
4,7.69,7.68,2.55,2.5,6.12,1.17,11.39,0.08,0.002,0.04
5,7.69,7.68,2.55,2.5,6.12,1.17,11.39,0.08,0.002,0.04
6,7.67,7.67,2.56,2.51,6.15,1.15,11.47,0.08,0.006,0.04
7,7.69,7.69,2.55,2.5,6.13,1.17,11.33,0.08,0.0,0.04
8,7.68,7.68,2.56,2.51,6.13,1.17,11.39,0.08,-0.001,0.04
9,7.68,7.68,2.55,2.5,6.13,1.17,11.34,0.08,-0.002,0.04
10,7.67,7.67,2.55,2.51,6.15,1.15,11.5,0.08,0.007,0.04
11,7.68,7.68,2.56,2.51,6.12,1.17,11.39,0.07,0.002,0.04
12,7.69,7.69,2.56,2.51,6.13,1.17,11.35,0.08,0.003,0.04
13,7.69,7.68,2.56,2.51,6.13,1.17,11.38,0.08,-0.001,0.04
14,7.67,7.67,2.56,2.51,6.14,1.15,11.53,0.07,0.008,0.04
15,7.68,7.67,2.56,2.51,6.14,1.15,11.5,0.08,0.007,0.04
16,7.67,7.67,2.56,2.51,6.14,1.15,11.52,0.08,0.01,0.04
17,7.7,7.69,2.56,2.51,6.13,1.18,11.38,0.08,0.0,0.04
18,7.68,7.67,2.55,2.51,6.16,1.15,11.49,0.08,0.004,0.04
19,7.67,7.67,2.55,2.5,6.15,1.14,11.52,0.08,0.005,0.04
20,7.67,7.67,2.55,2.5,6.15,1.16,11.43,0.07,0.004,0.04
21,7.69,7.68,2.57,2.52,6.12,1.17,11.4,0.08,0.003,0.04
22,7.69,7.69,2.56,2.51,6.12,1.17,11.39,0.08,0.0,0.04
1,7.67,7.67,2.56,2.51,6.14,1.15,11.51,0.07,0.008,0.04
2,7.69,7.68,2.55,2.5,6.13,1.16,11.4,0.08,0.002,0.04
3,7.7,7.69,2.56,2.51,6.11,1.18,11.38,0.08,0.001,0.04
4,7.69,7.69,2.55,2.51,6.12,1.18,11.32,0.08,0.005,0.04
5,7.67,7.67,2.56,2.51,6.14,1.15,11.51,0.08,0.009,0.04
6,7.67,7.67,2.56,2.5,6.14,1.16,11.47,0.07,0.007,0.04
7,7.69,7.68,2.56,2.51,6.12,1.18,11.39,0.08,0.0,0.04
8,7.69,7.69,2.56,2.51,6.12,1.18,11.32,0.08,0.004,0.04
9,7.69,7.69,2.56,2.51,6.12,1.18,11.39,0.08,0.001,0.04
10,7.69,7.69,2.56,2.51,6.12,1.18,11.39,0.08,0.001,0.04
11,7.69,7.69,2.56,2.51,6.12,1.18,11.39,0.08,0.001,0.04
12,7.69,7.69,2.56,2.51,6.12,1.18,11.39,0.08,0.001,0.04
13,7.67,7.66,2.56,2.51,6.14,1.16,11.47,0.07,0.008,0.04
14,7.68,7.67,2.56,2.51,6.15,1.14,11.53,0.08,0.007,0.04
15,7.67,7.66,2.56,2.51,6.15,1.15,11.47,0.07,0.007,0.04
16,7.68,7.68,2.56,2.51,6.13,1.18,11.38,0.07,-0.002,0.04
17,7.68,7.68,2.55,2.51,6.13,1.18,11.3,0.07,0.005,0.04
18,7.68,7.67,2.56,2.51,6.14,1.14,11.52,0.08,0.007,0.03
19,7.67,7.66,2.56,2.51,6.14,1.17,11.42,0.07,0.006,0.04
20,7.67,7.67,2.55,2.51,6.15,1.15,11.5,0.08,0.005,0.04
21,7.68,7.67,2.56,2.51,6.14,1.15,11.52,0.08,0.006,0.04
22,7.68,7.68,2.56,2.51,6.13,1.17,11.39,0.08,0.003,0.04
23,7.69,7.69,2.56,2.51,6.12,1.17,11.39,0.08,0.001,0.04
24,7.69,7.69,2.56,2.51,6.12,1.17,11.38,0.08,0.004,0.03
25,7.7,7.69,2.56,2.51,6.12,1.18,11.37,0.08,-0.001,0.04
26,7.68,7.68,2.54,2.5,6.15,1.18,11.3,0.08,0.004,0.04
27,7.68,7.68,2.56,2.51,6.13,1.16,11.41,0.08,0.003,0.04
28,7.69,7.68,2.56,2.51,6.12,1.17,11.35,0.08,-0.002,0.04
29,7.68,7.68,2.55,2.51,6.13,1.18,11.32,0.08,0.003,0.04
30,7.69,7.68,2.56,2.51,6.14,1.17,11.34,0.08,-0.002,0.04
31,7.68,7.68,2.56,2.51,6.12,1.17,11.38,0.08,0.002,0.03
32,7.69,7.68,2.56,2.52,6.12,1.18,11.37,0.07,0.001,0.04
33,7.68,7.67,2.56,2.51,6.14,1.14,11.53,0.08,0.008,0.04
34,7.68,7.67,2.56,2.51,6.14,1.18,11.44,0.07,0.006,0.04
35,7.68,7.68,2.56,2.51,6.12,1.17,11.34,0.08,0.001,0.04
36,7.69,7.69,2.56,2.51,6.12,1.17,11.39,0.08,0.002,0.04
37,7.69,7.69,2.56,2.51,6.12,1.17,11.39,0.08,0.004,0.04
38,7.68,7.68,2.56,2.52,6.12,1.18,11.38,0.07,-0.001,0.04
39,7.67,7.67,2.56,2.51,6.15,1.17,11.41,0.07,0.004,0.04
40,7.67,7.67,2.56,2.51,6.15,1.17,11.41,0.07,0.004,0.04
41,7.67,7.67,2.56,2.51,6.15,1.17,11.41,0.07,0.004,0.04
42,7.69,7.69,2.55,2.5,6.13,1.17,11.32,0.08,0.002,0.04
