frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,7.19,7.2,2.76,2.86,6.31,4.39,14.82,0.13,-0.052,-0.03
2,7.19,7.2,2.76,2.86,6.3,4.4,14.82,0.13,-0.051,-0.03
3,7.19,7.2,2.75,2.84,6.33,4.39,14.82,0.13,-0.05,-0.03
4,7.18,7.19,2.75,2.85,6.33,4.39,14.84,0.13,-0.05,-0.03
5,7.18,7.19,2.75,2.85,6.32,4.39,14.82,0.13,-0.051,-0.03
6,7.19,7.19,2.75,2.85,6.33,4.39,14.82,0.13,-0.05,-0.03
7,7.19,7.19,2.75,2.85,6.33,4.39,14.86,0.13,-0.05,-0.03
8,7.19,7.2,2.75,2.84,6.33,4.4,14.84,0.13,-0.05,-0.03
9,7.19,7.19,2.75,2.85,6.33,4.39,14.83,0.13,-0.05,-0.03
10,7.18,7.19,2.75,2.85,6.32,4.39,14.84,0.13,-0.05,-0.03
11,7.18,7.19,2.75,2.85,6.32,4.39,14.84,0.13,-0.05,-0.03
12,7.18,7.19,2.75,2.85,6.32,4.39,14.84,0.13,-0.05,-0.03
13,7.18,7.19,2.75,2.85,6.32,4.39,14.84,0.13,-0.05,-0.03
14,7.18,7.19,2.75,2.85,6.33,4.4,14.84,0.13,-0.049,-0.03
15,7.19,7.2,2.75,2.85,6.32,4.39,14.85,0.13,-0.051,-0.03
16,7.19,7.2,2.74,2.84,6.34,4.38,14.85,0.13,-0.05,-0.03
17,7.19,7.19,2.75,2.84,6.33,4.39,14.83,0.13,-0.05,-0.03
18,7.19,7.19,2.75,2.85,6.33,4.4,14.83,0.13,-0.049,-0.03
19,7.18,7.19,2.75,2.84,6.33,4.39,14.85,0.13,-0.05,-0.03
20,7.18,7.19,2.75,2.84,6.32,4.38,14.83,0.13,-0.05,-0.03
21,7.19,7.19,2.75,2.84,6.34,4.39,14.86,0.13,-0.049,-0.03
22,7.19,7.2,2.75,2.85,6.32,4.4,14.82,0.13,-0.05,-0.03
23,7.19,7.2,2.75,2.84,6.32,4.39,14.83,0.13,-0.05,-0.03
24,7.19,7.2,2.75,2.84,6.33,4.39,14.84,0.13,-0.051,-0.03
25,7.18,7.19,2.75,2.84,6.33,4.38,14.85,0.13,-0.05,-0.03
26,7.18,7.19,2.76,2.86,6.31,4.39,14.83,0.13,-0.052,-0.03
27,7.19,7.2,2.75,2.85,6.3,4.4,14.82,0.13,-0.052,-0.03
28,7.18,7.19,2.76,2.86,6.31,4.39,14.82,0.13,-0.052,-0.03
