frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,7.53,7.53,3.99,3.99,5.78,1.64,12.39,0.05,-0.04,0.06
2,7.58,7.59,3.97,3.98,5.8,1.63,12.39,0.05,-0.041,0.06
3,7.58,7.59,3.97,3.98,5.8,1.63,12.39,0.05,-0.041,0.06
4,7.53,7.54,4.01,4.01,5.78,1.63,12.39,0.05,-0.042,0.06
5,7.59,7.61,3.92,3.92,5.77,1.64,12.38,0.05,-0.041,0.06
6,8.19,8.18,3.4,3.41,5.79,1.64,12.3,0.05,-0.043,0.06
7,7.93,7.92,3.65,3.66,5.8,1.62,12.31,0.05,-0.043,0.07
8,8.08,8.08,3.47,3.49,5.78,1.64,12.35,0.05,-0.043,0.06
9,8.17,8.16,3.42,3.43,5.79,1.64,12.26,0.05,-0.043,0.06
10,8.03,8.02,3.55,3.56,5.8,1.62,12.3,0.05,-0.044,0.07
11,7.52,7.53,3.96,3.96,5.78,1.64,12.35,0.05,-0.039,0.06
12,7.52,7.52,4.05,4.06,5.8,1.59,12.32,0.05,-0.043,0.06
13,7.54,7.55,3.96,3.97,5.81,1.64,12.38,0.05,-0.04,0.06
14,7.59,7.6,3.96,3.97,5.79,1.64,12.39,0.05,-0.042,0.06
15,7.5,7.5,4.01,4.0,5.78,1.65,12.35,0.05,-0.039,0.06
16,8.3,8.29,3.3,3.32,5.78,1.62,12.31,0.05,-0.043,0.07
17,7.89,7.89,3.64,3.64,5.79,1.61,12.31,0.05,-0.042,0.07
18,7.53,7.54,3.94,3.94,5.81,1.62,12.35,0.05,-0.04,0.06
19,7.52,7.54,4.01,4.02,5.79,1.61,12.38,0.05,-0.044,0.06
20,8.25,8.25,3.33,3.35,5.78,1.65,12.32,0.05,-0.044,0.06
21,8.13,8.13,3.47,3.49,5.79,1.62,12.31,0.05,-0.044,0.06
22,7.54,7.54,3.97,3.97,5.78,1.63,12.36,0.05,-0.041,0.06
23,8.13,8.13,3.44,3.45,5.8,1.64,12.3,0.05,-0.043,0.06
24,8.13,8.13,3.44,3.45,5.8,1.64,12.3,0.05,-0.043,0.06
25,8.13,8.13,3.44,3.45,5.8,1.64,12.3,0.05,-0.043,0.06
26,7.58,7.59,3.93,3.94,5.76,1.64,12.38,0.05,-0.041,0.06
27,7.55,7.56,3.99,3.99,5.77,1.64,12.39,0.05,-0.041,0.06
28,8.1,8.1,3.48,3.49,5.8,1.63,12.31,0.05,-0.044,0.06
29,8.15,8.14,3.42,3.43,5.79,1.64,12.31,0.05,-0.043,0.06
30,7.55,7.56,3.99,4.0,5.78,1.63,12.38,0.05,-0.041,0.06
31,7.49,7.49,4.0,4.0,5.78,1.65,12.33,0.05,-0.04,0.06
32,8.27,8.27,3.34,3.36,5.78,1.63,12.3,0.05,-0.044,0.07
33,7.82,7.81,3.68,3.69,5.79,1.6,12.33,0.05,-0.041,0.07
34,8.07,8.07,3.45,3.47,5.8,1.64,12.34,0.05,-0.044,0.06
35,8.08,8.06,3.51,3.52,5.79,1.63,12.28,0.05,-0.043,0.06
36,8.22,8.21,3.37,3.38,5.78,1.64,12.3,0.05,-0.044,0.06
37,7.43,7.44,4.11,4.12,5.79,1.6,12.33,0.05,-0.043,0.06
38,8.38,8.37,3.24,3.26,5.78,1.65,12.29,0.05,-0.044,0.07
39,7.72,7.72,3.76,3.76,5.8,1.61,12.33,0.05,-0.041,0.06
40,7.53,7.53,3.97,3.97,5.78,1.64,12.36,0.05,-0.04,0.06
41,7.4,7.41,4.12,4.14,5.78,1.6,12.33,0.05,-0.043,0.06
42,8.03,8.02,3.54,3.56,5.78,1.61,12.26,0.05,-0.043,0.07
43,8.3,8.3,3.27,3.29,5.77,1.65,12.32,0.05,-0.044,0.06
44,8.23,8.23,3.36,3.38,5.79,1.62,12.29,0.05,-0.044,0.07
45,7.94,7.93,3.62,3.63,5.79,1.6,12.31,0.05,-0.043,0.07
46,7.81,7.81,3.69,3.7,5.79,1.63,12.36,0.05,-0.042,0.06
47,8.24,8.24,3.32,3.33,5.79,1.65,12.33,0.05,-0.044,0.06
48,7.81,7.81,3.71,3.71,5.8,1.61,12.31,0.05,-0.042,0.06
49,7.93,7.93,3.57,3.58,5.78,1.63,12.32,0.05,-0.043,0.06
50,7.55,7.56,3.89,3.9,5.82,1.62,12.37,0.05,-0.041,0.06
51,7.58,7.58,3.98,3.99,5.81,1.63,12.38,0.05,-0.042,0.06
52,7.55,7.56,3.95,3.94,5.77,1.65,12.34,0.05,-0.04,0.06
53,7.55,7.56,3.95,3.94,5.77,1.65,12.34,0.05,-0.04,0.06
54,7.55,7.56,3.95,3.94,5.77,1.65,12.34,0.05,-0.04,0.06
55,7.88,7.87,3.68,3.69,5.79,1.61,12.32,0.05,-0.042,0.07
56,7.44,7.44,4.12,4.14,5.78,1.61,12.35,0.05,-0.043,0.06
57,8.35,8.35,3.26,3.29,5.78,1.65,12.32,0.05,-0.044,0.07
58,8.09,8.08,3.53,3.54,5.78,1.61,12.29,0.05,-0.044,0.07
59,8.31,8.3,3.3,3.31,5.78,1.65,12.28,0.05,-0.044,0.06
60,7.72,7.72,3.74,3.75,5.81,1.61,12.33,0.05,-0.041,0.06
61,7.5,7.51,3.98,3.98,5.78,1.66,12.35,0.05,-0.04,0.06
62,8.33,8.33,3.28,3.3,5.78,1.63,12.28,0.05,-0.044,0.07
63,7.66,7.66,3.79,3.8,5.8,1.6,12.37,0.05,-0.04,0.06
64,7.9,7.9,3.63,3.64,5.79,1.61,12.32,0.05,-0.042,0.07
65,7.52,7.52,3.92,3.92,5.8,1.62,12.38,0.05,-0.04,0.06
66,7.54,7.54,3.99,4.0,5.81,1.59,12.35,0.05,-0.043,0.07
67,7.5,7.51,3.97,3.97,5.81,1.64,12.35,0.05,-0.041,0.06
68,7.53,7.53,4.02,4.03,5.81,1.6,12.32,0.05,-0.043,0.06
69,7.56,7.57,3.94,3.94,5.77,1.64,12.37,0.05,-0.041,0.06
70,7.59,7.6,3.93,3.93,5.76,1.64,12.38,0.05,-0.041,0.06
71,7.51,7.52,4.05,4.06,5.8,1.63,12.38,0.05,-0.042,0.06
72,7.84,7.83,3.69,3.7,5.79,1.6,12.32,0.05,-0.041,0.07
73,7.53,7.54,3.94,3.95,5.81,1.6,12.34,0.05,-0.04,0.06
74,7.53,7.54,4.0,4.02,5.79,1.61,12.38,0.05,-0.044,0.06
75,7.5,7.51,3.98,3.98,5.78,1.64,12.37,0.05,-0.04,0.06
76,7.69,7.69,3.78,3.79,5.8,1.61,12.36,0.05,-0.042,0.06
77,8.29,8.28,3.33,3.34,5.77,1.64,12.3,0.05,-0.044,0.07
78,7.42,7.43,4.12,4.13,5.79,1.61,12.35,0.05,-0.043,0.06
79,8.43,8.42,3.2,3.22,5.77,1.65,12.29,0.05,-0.044,0.07
80,8.05,8.05,3.5,3.51,5.8,1.63,12.33,0.04,-0.043,0.07
81,8.33,8.32,3.27,3.28,5.78,1.66,12.3,0.05,-0.043,0.06
82,7.48,7.48,4.02,4.01,5.77,1.64,12.32,0.05,-0.039,0.06
83,7.48,7.48,4.02,4.01,5.77,1.64,12.32,0.05,-0.039,0.06
84,7.48,7.48,4.02,4.01,5.77,1.64,12.32,0.05,-0.039,0.06
85,7.66,7.66,3.82,3.82,5.8,1.6,12.33,0.05,-0.041,0.06
86,7.56,7.57,3.96,3.96,5.77,1.62,12.37,0.05,-0.041,0.06
87,7.56,7.57,4.01,4.01,5.79,1.63,12.37,0.05,-0.042,0.06
88,7.67,7.67,3.81,3.81,5.8,1.6,12.34,0.05,-0.041,0.06
89,7.56,7.57,3.95,3.95,5.78,1.63,12.37,0.05,-0.04,0.06
90,7.52,7.53,4.03,4.05,5.79,1.61,12.37,0.05,-0.043,0.06
91,7.84,7.83,3.68,3.68,5.8,1.61,12.3,0.05,-0.041,0.06
92,7.88,7.88,3.62,3.63,5.79,1.62,12.35,0.05,-0.043,0.06
93,7.77,7.77,3.71,3.72,5.8,1.62,12.33,0.05,-0.042,0.06
94,7.89,7.89,3.65,3.66,5.78,1.63,12.31,0.05,-0.044,0.06
95,7.54,7.54,3.89,3.89,5.8,1.62,12.35,0.05,-0.041,0.06
96,7.57,7.57,3.99,4.0,5.81,1.62,12.37,0.05,-0.043,0.06
97,7.56,7.56,3.95,3.94,5.78,1.66,12.33,0.05,-0.04,0.06
98,7.48,7.49,4.07,4.08,5.8,1.62,12.36,0.05,-0.043,0.06
99,8.08,8.07,3.47,3.48,5.8,1.64,12.29,0.05,-0.043,0.06
100,8.29,8.28,3.31,3.32,5.78,1.65,12.3,0.05,-0.043,0.06
101,7.87,7.87,3.65,3.65,5.8,1.62,12.32,0.05,-0.042,0.06
102,7.52,7.53,3.94,3.94,5.81,1.62,12.35,0.05,-0.04,0.06
103,7.53,7.54,4.01,4.02,5.8,1.61,12.38,0.05,-0.044,0.06
104,7.8,7.8,3.7,3.7,5.8,1.61,12.32,0.05,-0.041,0.06
105,8.38,8.37,3.18,3.2,5.77,1.67,12.34,0.05,-0.043,0.06
106,7.86,7.85,3.68,3.68,5.79,1.61,12.3,0.05,-0.042,0.06
107,7.53,7.54,3.93,3.93,5.81,1.61,12.37,0.05,-0.04,0.06
108,7.52,7.53,4.04,4.05,5.8,1.61,12.38,0.05,-0.044,0.06
109,7.52,7.53,3.96,3.96,5.79,1.64,12.36,0.05,-0.039,0.06
110,7.37,7.38,4.17,4.19,5.81,1.58,12.33,0.05,-0.043,0.06
111,7.49,7.5,4.03,4.05,5.8,1.61,12.37,0.05,-0.044,0.06
112,7.49,7.5,4.03,4.05,5.8,1.61,12.37,0.05,-0.044,0.06
113,7.49,7.5,4.03,4.05,5.8,1.61,12.37,0.05,-0.044,0.06
114,7.49,7.5,4.03,4.05,5.8,1.61,12.37,0.05,-0.044,0.06
115,8.06,8.06,3.47,3.49,5.78,1.64,12.34,0.05,-0.043,0.06
116,8.21,8.2,3.37,3.39,5.79,1.65,12.28,0.05,-0.044,0.06
117,7.42,7.43,4.13,4.15,5.79,1.6,12.35,0.05,-0.044,0.06
118,8.37,8.35,3.25,3.27,5.77,1.65,12.27,0.05,-0.044,0.07
119,7.61,7.61,3.82,3.83,5.81,1.61,12.34,0.04,-0.04,0.06
120,7.57,7.58,3.98,3.99,5.78,1.62,12.37,0.05,-0.042,0.06
121,7.8,7.8,3.7,3.71,5.8,1.62,12.3,0.05,-0.042,0.06
122,8.23,8.23,3.3,3.32,5.76,1.65,12.34,0.05,-0.043,0.06
123,7.46,7.46,4.08,4.09,5.77,1.6,12.33,0.05,-0.043,0.06
124,8.02,8.02,3.58,3.59,5.78,1.63,12.31,0.05,-0.044,0.07
125,7.97,7.97,3.53,3.54,5.79,1.63,12.32,0.05,-0.043,0.06
126,7.6,7.6,3.86,3.87,5.81,1.61,12.34,0.05,-0.041,0.06
127,7.66,7.67,3.78,3.78,5.82,1.61,12.33,0.05,-0.041,0.06
128,7.47,7.48,4.02,4.02,5.78,1.64,12.34,0.05,-0.04,0.06
129,8.23,8.22,3.37,3.39,5.79,1.62,12.3,0.05,-0.044,0.07
130,7.86,7.86,3.67,3.68,5.79,1.6,12.32,0.05,-0.042,0.07
131,7.69,7.7,3.77,3.78,5.8,1.62,12.33,0.05,-0.042,0.06
132,7.53,7.54,3.97,3.97,5.77,1.64,12.38,0.05,-0.04,0.06
133,7.4,7.41,4.14,4.15,5.79,1.6,12.32,0.05,-0.043,0.06
134,8.22,8.21,3.39,3.41,5.77,1.62,12.28,0.05,-0.043,0.07
135,7.45,7.45,4.11,4.12,5.79,1.61,12.35,0.05,-0.043,0.06
136,7.68,7.68,3.89,3.89,5.8,1.61,12.31,0.05,-0.042,0.06
137,7.52,7.52,4.0,4.0,5.77,1.63,12.36,0.05,-0.04,0.06
138,7.81,7.81,3.68,3.69,5.8,1.63,12.34,0.05,-0.042,0.06
139,8.11,8.11,3.41,3.43,5.79,1.65,12.34,0.05,-0.044,0.06
