frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,8.39,8.33,1.89,1.99,6.83,4.21,17.89,0.08,-0.033,0.07
2,8.4,8.37,1.86,1.98,6.86,4.32,17.99,0.08,-0.032,0.08
3,8.4,8.37,1.86,1.98,6.86,4.32,17.99,0.08,-0.032,0.08
4,8.41,8.36,1.87,1.98,6.84,4.22,17.94,0.08,-0.034,0.07
5,8.42,8.38,1.86,1.98,6.84,4.6,17.9,0.08,-0.031,0.08
6,8.42,8.38,1.85,1.97,6.85,4.71,17.96,0.08,-0.03,0.08
7,8.4,8.37,1.86,1.98,6.85,4.51,17.99,0.08,-0.03,0.08
8,8.41,8.36,1.86,1.97,6.85,4.59,17.97,0.08,-0.033,0.07
9,8.39,8.35,1.87,1.99,6.84,4.16,17.92,0.08,-0.031,0.08
10,8.42,8.38,1.87,1.99,6.84,4.44,17.96,0.08,-0.031,0.08
11,8.39,8.35,1.86,1.98,6.85,4.51,17.94,0.08,-0.031,0.08
12,8.41,8.36,1.85,1.96,6.84,4.68,17.95,0.08,-0.031,0.08
13,8.39,8.35,1.87,1.99,6.85,4.34,17.97,0.08,-0.032,0.08
14,8.4,8.35,1.87,1.98,6.84,4.26,17.94,0.08,-0.033,0.07
15,8.4,8.36,1.86,1.97,6.83,4.24,17.94,0.08,-0.033,0.07
16,8.4,8.36,1.87,1.98,6.85,4.43,17.96,0.08,-0.033,0.07
17,8.41,8.36,1.87,1.98,6.83,4.37,17.95,0.08,-0.034,0.07
18,8.41,8.36,1.86,1.98,6.84,4.44,17.95,0.08,-0.034,0.07
19,8.4,8.35,1.86,1.97,6.82,4.23,17.92,0.08,-0.034,0.07
20,8.4,8.35,1.88,1.99,6.84,4.23,17.93,0.08,-0.034,0.07
21,8.42,8.38,1.87,1.99,6.84,4.66,17.96,0.08,-0.031,0.08
22,8.4,8.36,1.88,1.99,6.84,4.4,18.01,0.08,-0.032,0.08
23,8.4,8.36,1.88,1.99,6.84,4.4,18.01,0.08,-0.032,0.08
24,8.4,8.36,1.88,1.99,6.84,4.4,18.01,0.08,-0.032,0.08
25,8.41,8.37,1.86,1.98,6.85,4.64,17.96,0.08,-0.032,0.08
26,8.41,8.37,1.86,1.98,6.85,4.64,17.96,0.08,-0.032,0.08
27,8.41,8.37,1.86,1.98,6.85,4.64,17.96,0.08,-0.032,0.08
28,8.39,8.34,1.87,1.99,6.84,4.21,17.94,0.08,-0.033,0.07
29,8.41,8.38,1.87,1.99,6.85,4.56,17.96,0.08,-0.03,0.08
30,8.41,8.37,1.86,1.98,6.84,4.59,17.93,0.08,-0.031,0.08
31,8.39,8.35,1.88,1.99,6.85,4.36,17.99,0.08,-0.031,0.08
32,8.41,8.38,1.85,1.97,6.85,4.49,17.95,0.08,-0.031,0.08
33,8.41,8.37,1.84,1.96,6.84,4.59,17.93,0.08,-0.032,0.08
34,8.38,8.35,1.87,1.99,6.85,4.07,17.88,0.08,-0.03,0.08
35,8.41,8.37,1.88,2.0,6.84,4.28,17.95,0.08,-0.03,0.08
36,8.42,8.38,1.86,1.98,6.84,4.22,17.94,0.08,-0.033,0.07
37,8.43,8.39,1.84,1.96,6.84,4.7,17.97,0.08,-0.032,0.08
38,8.41,8.38,1.85,1.97,6.84,4.48,17.95,0.08,-0.031,0.08
39,8.39,8.34,1.87,1.98,6.83,4.19,17.91,0.08,-0.034,0.07
40,8.39,8.35,1.9,2.02,6.85,4.32,17.94,0.08,-0.03,0.08
41,8.4,8.35,1.88,1.99,6.83,4.26,17.91,0.08,-0.033,0.07
42,8.4,8.35,1.87,1.98,6.85,4.47,17.96,0.08,-0.033,0.08
43,8.39,8.34,1.87,1.99,6.83,4.21,17.94,0.08,-0.034,0.07
44,8.39,8.35,1.9,2.01,6.85,4.23,17.96,0.08,-0.031,0.08
45,8.41,8.37,1.86,1.97,6.85,4.73,17.95,0.08,-0.031,0.08
46,8.39,8.35,1.87,1.99,6.85,4.45,17.96,0.08,-0.031,0.08
47,8.4,8.37,1.86,1.98,6.86,4.28,17.98,0.08,-0.031,0.07
48,8.41,8.36,1.87,1.98,6.84,4.22,17.95,0.08,-0.035,0.07
49,8.42,8.39,1.85,1.97,6.84,4.65,17.96,0.08,-0.031,0.08
50,8.4,8.36,1.86,1.98,6.85,4.3,17.99,0.08,-0.032,0.08
51,8.42,8.37,1.86,1.97,6.84,4.24,17.96,0.08,-0.034,0.07
52,8.39,8.34,1.87,1.97,6.84,4.29,17.93,0.08,-0.034,0.07
53,8.42,8.38,1.85,1.97,6.84,4.76,17.97,0.08,-0.033,0.08
54,8.41,8.37,1.86,1.98,6.84,4.5,17.96,0.08,-0.031,0.08
55,8.41,8.37,1.86,1.98,6.85,4.49,17.94,0.08,-0.033,0.07
56,8.41,8.37,1.86,1.98,6.85,4.49,17.94,0.08,-0.033,0.07
57,8.41,8.37,1.86,1.98,6.85,4.49,17.94,0.08,-0.033,0.07
58,8.41,8.37,1.86,1.98,6.85,4.49,17.94,0.08,-0.033,0.07
59,8.4,8.36,1.86,1.97,6.84,4.58,17.95,0.08,-0.032,0.07
60,8.4,8.36,1.86,1.97,6.84,4.58,17.95,0.08,-0.032,0.07
61,8.39,8.34,1.87,1.99,6.83,4.12,17.91,0.08,-0.035,0.07
62,8.41,8.37,1.88,2.0,6.85,4.24,17.98,0.08,-0.031,0.08
63,8.42,8.38,1.85,1.97,6.86,4.8,17.97,0.08,-0.03,0.08
64,8.42,8.38,1.86,1.98,6.84,4.67,17.99,0.08,-0.031,0.08
65,8.41,8.37,1.87,1.99,6.84,4.34,17.99,0.08,-0.031,0.08
66,8.41,8.36,1.87,1.98,6.83,4.25,17.94,0.08,-0.033,0.07
67,8.41,8.37,1.86,1.97,6.85,4.52,17.94,0.08,-0.033,0.07
68,8.41,8.36,1.85,1.97,6.85,4.58,17.96,0.08,-0.032,0.07
69,8.4,8.36,1.88,2.0,6.86,4.27,18.0,0.08,-0.031,0.08
70,8.4,8.35,1.88,1.99,6.84,4.25,17.91,0.08,-0.033,0.07
71,8.4,8.35,1.87,1.98,6.84,4.34,17.93,0.08,-0.033,0.07
72,8.39,8.34,1.88,1.99,6.84,4.39,17.95,0.08,-0.033,0.07
73,8.39,8.34,1.87,1.99,6.82,4.23,17.91,0.08,-0.033,0.08
74,8.41,8.37,1.88,2.0,6.86,4.65,17.92,0.08,-0.032,0.08
75,8.4,8.36,1.87,1.98,6.84,4.56,17.96,0.08,-0.031,0.08
76,8.4,8.35,1.87,1.99,6.83,4.21,17.91,0.08,-0.033,0.07
77,8.41,8.38,1.86,1.98,6.84,4.42,17.97,0.08,-0.031,0.08
78,8.41,8.36,1.86,1.98,6.84,4.26,17.94,0.08,-0.034,0.07
79,8.42,8.38,1.85,1.96,6.84,4.72,17.95,0.08,-0.032,0.08
80,8.4,8.36,1.86,1.98,6.85,4.4,17.93,0.08,-0.031,0.08
81,8.4,8.35,1.86,1.97,6.84,4.29,17.97,0.08,-0.033,0.07
82,8.41,8.36,1.86,1.97,6.84,4.41,17.92,0.08,-0.033,0.07
83,8.4,8.35,1.87,1.98,6.82,4.22,17.92,0.08,-0.034,0.07
84,8.42,8.38,1.86,1.98,6.84,4.67,17.95,0.08,-0.031,0.08
85,8.4,8.36,1.88,2.0,6.85,4.22,17.97,0.08,-0.031,0.08
86,8.42,8.39,1.86,1.97,6.85,4.74,17.94,0.08,-0.03,0.08
87,8.39,8.35,1.88,2.0,6.85,4.33,17.97,0.08,-0.031,0.08
88,8.39,8.35,1.88,2.0,6.85,4.33,17.97,0.08,-0.031,0.08
89,8.39,8.35,1.88,2.0,6.85,4.33,17.97,0.08,-0.031,0.08
90,8.39,8.35,1.88,2.0,6.85,4.33,17.97,0.08,-0.031,0.08
91,8.42,8.38,1.86,1.97,6.84,4.66,17.95,0.08,-0.032,0.08
92,8.42,8.38,1.86,1.97,6.84,4.66,17.95,0.08,-0.032,0.08
93,8.4,8.34,1.87,1.99,6.85,4.27,17.96,0.08,-0.034,0.07
94,8.42,8.39,1.84,1.96,6.85,4.7,17.96,0.08,-0.032,0.08
95,8.43,8.39,1.84,1.96,6.84,4.57,17.97,0.08,-0.032,0.08
96,8.41,8.38,1.87,1.99,6.84,4.17,17.92,0.08,-0.031,0.08
97,8.4,8.35,1.87,1.99,6.85,4.5,17.97,0.08,-0.032,0.08
98,8.4,8.34,1.86,1.97,6.84,4.41,17.96,0.08,-0.034,0.07
99,8.38,8.33,1.87,1.98,6.83,4.18,17.92,0.08,-0.034,0.07
100,8.39,8.36,1.9,2.01,6.85,4.28,17.98,0.08,-0.031,0.08
101,8.4,8.35,1.88,1.99,6.84,4.22,17.92,0.08,-0.032,0.07
102,8.4,8.36,1.86,1.98,6.86,4.75,17.98,0.08,-0.031,0.08
103,8.4,8.36,1.87,1.98,6.85,4.52,17.96,0.08,-0.031,0.08
104,8.41,8.36,1.86,1.97,6.84,4.62,17.96,0.08,-0.032,0.08
105,8.39,8.35,1.88,2.0,6.84,4.23,17.94,0.08,-0.031,0.08
106,8.43,8.39,1.85,1.97,6.86,4.79,17.98,0.08,-0.031,0.08
107,8.39,8.35,1.88,1.99,6.85,4.23,17.95,0.08,-0.03,0.08
108,8.42,8.38,1.85,1.97,6.86,4.74,17.95,0.08,-0.031,0.08
