frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,5.58,5.52,2.42,2.41,7.37,1.33,14.64,-0.07,0.049,0.11
2,5.58,5.52,2.4,2.39,7.37,1.32,14.68,-0.07,0.05,0.11
3,5.58,5.52,2.4,2.39,7.37,1.32,14.68,-0.07,0.05,0.11
4,5.57,5.52,2.43,2.42,7.4,1.32,14.71,-0.07,0.05,0.11
5,5.58,5.53,2.42,2.41,7.37,1.32,14.69,-0.07,0.05,0.11
6,5.59,5.53,2.41,2.4,7.37,1.32,14.68,-0.07,0.049,0.11
7,5.59,5.53,2.42,2.42,7.39,1.32,14.69,-0.07,0.05,0.11
8,5.59,5.53,2.43,2.42,7.38,1.32,14.64,-0.07,0.05,0.11
9,5.59,5.53,2.42,2.41,7.39,1.32,14.69,-0.07,0.05,0.11
10,5.59,5.53,2.42,2.41,7.38,1.32,14.64,-0.07,0.05,0.11
11,5.57,5.52,2.42,2.41,7.39,1.32,14.67,-0.07,0.05,0.11
12,5.57,5.51,2.42,2.42,7.37,1.33,14.67,-0.07,0.05,0.11
13,5.57,5.51,2.41,2.4,7.37,1.32,14.66,-0.07,0.051,0.11
14,5.57,5.51,2.41,2.4,7.37,1.32,14.66,-0.07,0.051,0.11
15,5.57,5.51,2.41,2.4,7.37,1.32,14.66,-0.07,0.051,0.11
16,5.57,5.51,2.41,2.4,7.37,1.32,14.66,-0.07,0.051,0.11
17,5.58,5.52,2.43,2.42,7.38,1.32,14.69,-0.07,0.05,0.11
18,5.59,5.53,2.42,2.41,7.37,1.32,14.67,-0.07,0.05,0.11
19,5.58,5.52,2.44,2.43,7.37,1.33,14.65,-0.07,0.05,0.11
20,5.59,5.53,2.42,2.42,7.37,1.32,14.64,-0.07,0.05,0.11
21,5.58,5.52,2.43,2.42,7.37,1.32,14.72,-0.07,0.049,0.11
22,5.59,5.53,2.42,2.42,7.36,1.32,14.69,-0.07,0.049,0.11
23,5.58,5.52,2.42,2.41,7.38,1.32,14.7,-0.07,0.049,0.11
24,5.58,5.52,2.43,2.42,7.37,1.33,14.66,-0.07,0.049,0.11
25,5.59,5.53,2.43,2.42,7.36,1.33,14.66,-0.07,0.049,0.11
26,5.59,5.53,2.43,2.42,7.37,1.33,14.67,-0.07,0.049,0.11
27,5.58,5.52,2.43,2.41,7.37,1.32,14.66,-0.07,0.049,0.11
28,5.58,5.52,2.42,2.41,7.37,1.33,14.64,-0.07,0.049,0.11
29,5.58,5.53,2.42,2.42,7.37,1.33,14.68,-0.07,0.049,0.11
30,5.59,5.53,2.43,2.42,7.38,1.33,14.67,-0.07,0.049,0.11
31,5.58,5.53,2.42,2.42,7.37,1.33,14.63,-0.07,0.049,0.11
32,5.58,5.53,2.42,2.41,7.38,1.33,14.68,-0.07,0.049,0.11
33,5.59,5.53,2.43,2.42,7.38,1.33,14.69,-0.07,0.049,0.11
34,5.59,5.53,2.43,2.42,7.37,1.33,14.66,-0.07,0.05,0.11
35,5.59,5.53,2.44,2.43,7.38,1.33,14.7,-0.07,0.05,0.11
36,5.58,5.52,2.45,2.44,7.37,1.34,14.67,-0.07,0.049,0.11
37,5.58,5.53,2.42,2.41,7.38,1.33,14.68,-0.07,0.05,0.11
38,5.59,5.53,2.43,2.42,7.37,1.33,14.66,-0.07,0.049,0.11
39,5.59,5.53,2.42,2.41,7.38,1.33,14.69,-0.07,0.049,0.11
40,5.59,5.53,2.42,2.42,7.37,1.33,14.68,-0.07,0.05,0.11
41,5.59,5.53,2.43,2.42,7.37,1.32,14.71,-0.07,0.049,0.11
42,5.59,5.53,2.42,2.41,7.37,1.33,14.73,-0.07,0.049,0.11
