frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,7.46,7.48,2.75,2.78,6.58,1.55,13.8,0.15,-0.026,0.08
2,7.46,7.48,2.75,2.78,6.58,1.55,13.8,0.15,-0.026,0.08
1,6.85,6.77,3.37,3.34,6.72,1.45,14.23,0.12,-0.069,0.13
2,6.85,6.77,3.37,3.34,6.72,1.45,14.23,0.12,-0.069,0.13
3,6.85,6.77,3.37,3.34,6.72,1.45,14.23,0.12,-0.069,0.13
1,5.77,5.75,2.73,2.76,7.05,1.97,13.39,0.26,0.001,0.15
2,5.77,5.75,2.73,2.76,7.05,1.97,13.39,0.26,0.001,0.15
1,6.36,6.34,2.47,2.5,6.32,0.7,13.81,0.12,-0.01,0.1
2,7.15,7.07,2.6,2.61,6.13,0.56,13.97,0.04,-0.022,0.09
3,7.23,7.22,2.51,2.52,6.19,0.8,13.84,-0.06,-0.037,0.07
4,7.15,7.15,2.41,2.43,6.24,0.79,13.5,-0.11,-0.039,0.07
5,7.09,7.08,2.27,2.28,6.27,0.78,13.15,-0.15,-0.041,0.07
6,7.05,7.01,2.79,2.79,6.5,0.72,13.54,-0.2,-0.038,0.08
7,7.22,7.18,2.78,2.8,6.49,0.71,13.65,-0.23,-0.046,0.08
8,7.21,7.18,2.72,2.76,6.32,0.74,13.67,-0.23,-0.048,0.09
9,8.91,8.88,1.94,2.0,6.27,0.69,14.33,-0.28,-0.06,0.1
10,8.81,8.73,1.91,1.96,6.25,0.55,14.05,-0.3,-0.073,0.11
11,8.5,8.43,1.93,1.96,6.52,0.52,14.15,-0.29,-0.091,0.11
12,7.62,7.58,1.99,2.0,6.18,0.66,13.79,-0.26,-0.103,0.12
13,6.91,6.88,2.25,2.26,6.59,0.79,14.0,-0.2,-0.105,0.13
14,6.64,6.58,2.51,2.5,6.42,0.82,13.89,-0.15,-0.106,0.13
15,6.27,6.25,2.95,2.96,6.35,0.79,13.63,-0.12,-0.1,0.14
16,6.15,6.1,3.16,3.17,6.56,0.85,13.64,-0.1,-0.102,0.14
17,6.15,6.1,3.16,3.17,6.56,0.85,13.64,-0.1,-0.102,0.14
18,6.15,6.1,3.16,3.17,6.56,0.85,13.64,-0.1,-0.102,0.14
1,6.29,6.27,2.35,2.43,6.72,1.33,15.03,-0.05,0.029,0.12
2,6.29,6.27,2.35,2.43,6.72,1.33,15.03,-0.05,0.029,0.12
3,5.59,5.57,2.7,2.66,6.45,0.9,13.2,0.02,-0.019,0.11
4,5.67,5.66,2.62,2.58,6.56,0.99,13.43,0.06,-0.015,0.12
5,5.66,5.64,2.42,2.44,6.53,0.89,13.13,0.05,-0.027,0.14
6,5.64,5.57,2.74,2.78,6.41,0.91,13.34,0.03,-0.032,0.14
7,5.74,5.67,2.64,2.66,6.55,0.98,13.76,0.04,-0.03,0.14
8,5.82,5.74,2.76,2.76,6.55,1.06,13.91,0.08,-0.023,0.12
9,5.71,5.69,2.51,2.58,6.44,1.0,13.23,0.07,-0.016,0.12
